timestamp,measured_voltage_A, measured_current_A, measured_power_A,measured_voltage_B, measured_current_B, measured_power_B,measured_voltage_C, measured_current_C, measured_power_C
2009-01-01 00:00:00 ,+398.948-0.267537,+1.75284-0.38418,+715.893+12.0948,+398.827-120.395,-1.21244-1.32363,+715.892+12.0947,+400.689+119.636,-1.18925+1.33335,+715.895-12.0949
2009-01-01 00:01:00 ,+6.79076e+06-179.3,-3.35383e+10-3.43682e+10,+3.26097e+17-44.9999,+6.79164e+06+60.6925,-1.299e+10+4.62369e+10,+3.26182e+17-44.9999,+6.79205e+06-59.2948,+4.65428e+10-1.18592e+10,+3.26221e+17-44.9999
2009-01-01 00:02:00 ,+1.36203e+11+156.008,-8.94936e+14-5.73431e+12,+1.21895e+26-24.3593,+1.36185e+11-83.9831,+4.52418e+14-7.72034e+14,+1.21863e+26-24.3537,+1.36209e+11+35.9907,+4.42832e+14+7.7784e+14,+1.21915e+26-24.356
2009-01-01 00:03:00 ,+3.87139e+15+167.335,-2.7576e+19-1.01382e+19,+1.13744e+35-32.8509,+3.87099e+15+47.3227,+5.01264e+18+2.89475e+19,+1.13723e+35-32.8532,+3.87142e+15-72.6509,+2.25738e+19-1.88078e+19,+1.13751e+35-32.8509
2009-01-01 00:04:00 ,+8.78256e+19+153.095,-6.77501e+23-4.30758e+21,+5.95032e+43-27.2695,+8.78047e+19-86.8915,+3.42516e+23-5.8437e+23,+5.94747e+43-27.2673,+8.78184e+19+33.0746,+3.35223e+23+5.88731e+23,+5.94952e+43-27.2683
2009-01-01 00:05:00 ,+2.20159e+24+162.778,-1.71397e+28-3.84599e+27,+3.86728e+52-29.8692,+2.20102e+24+42.762,+5.24208e+27+1.67608e+28,+3.86531e+52-29.8705,+2.20131e+24-77.2019,+1.19039e+28-1.29148e+28,+3.86638e+52-29.8695
2009-01-01 00:06:00 ,+5.13378e+28+152.234,-4.13186e+32-2.62199e+30,+2.12125e+61-28.1293,+5.13193e+28-87.748,+2.08892e+32-3.56329e+32,+2.11972e+61-28.1283,+5.13274e+28+32.21,+2.04439e+32+3.58984e+32,+2.12041e+61-28.1288
2009-01-01 00:07:00 ,+1.23721e+33+161.19,-9.90309e+36-1.78199e+36,+1.24489e+70-29.0105,+1.2367e+33+41.1708,+3.41005e+36+9.46236e+36,+1.24388e+70-29.011,+1.23689e+33-78.7839,+6.49666e+36-7.68051e+36,+1.24427e+70-29.0106
2009-01-01 00:08:00 ,+2.90812e+37+151.945,-2.37315e+41-1.50624e+39,+6.90155e+78-28.4185,+2.9067e+37-88.0336,+1.19977e+41-2.04624e+41,+6.89478e+78-28.4181,+2.90718e+37+31.9162,+1.17421e+41+2.06149e+41,+6.89714e+78-28.4183
2009-01-01 00:09:00 ,+6.91455e+41+160.627,-5.58745e+45-9.20503e+44,+3.91554e+87-28.7284,+6.91075e+41+40.6039,+1.99754e+45+5.29543e+45,+3.91125e+87-28.7286,+6.91193e+41-79.3421,+3.59194e+45-4.37503e+45,+3.9126e+87-28.7284
2009-01-01 00:10:00 ,+1.6296e+46+151.844,-1.33622e+50-8.49095e+47,+2.17755e+96-28.52,+1.62858e+46-88.1314,+6.75531e+49-1.15195e+50,+2.17483e+96-28.5198,+1.62888e+46+31.8101,+6.61159e+49+1.16055e+50,+2.17564e+96-28.5199
2009-01-01 00:11:00 ,+3.85626e+50+160.425,-3.12658e+54-4.98295e+53,+1.22091e+105-28.6304,+3.8536e+50+40.3988,+1.13232e+54+2.9543e+54,+1.21923e+105-28.6305,+3.85434e+50-79.5387,+1.9954e+54-2.45607e+54,+1.2197e+105-28.6304
2009-01-01 00:12:00 ,+9.09665e+54+151.809,-7.4717e+58-4.75556e+56,+6.79689e+113-28.5561,+9.08975e+54-88.1638,+3.77727e+58-6.44019e+58,+6.78657e+113-28.556,+9.09161e+54+31.7695,+3.69706e+58+6.48834e+58,+6.78936e+113-28.5561
2009-01-01 00:13:00 ,+2.14897e+59+160.352,-1.74443e+63-2.74659e+62,+3.7949e+122-28.5956,+2.14719e+59+40.3228,+6.34668e+62+1.64637e+63,+3.78864e+122-28.5957,+2.14765e+59-79.6063,+1.11039e+63-1.37174e+63,+3.79026e+122-28.5957
2009-01-01 00:14:00 ,+5.07093e+63+151.796,-4.16764e+67-2.65744e+65,+2.11342e+131-28.569,+5.06639e+63-88.1729,+2.10688e+67-3.59164e+67,+2.10964e+131-28.569,+5.06753e+63+31.752,+2.06222e+67+3.61855e+67,+2.11059e+131-28.569
2009-01-01 00:15:00 ,+1.19721e+68+160.325,-9.72257e+71-1.52403e+71,+1.17821e+140-28.5832,+1.19606e+68+40.2931,+3.54321e+71+9.17118e+71,+1.17595e+140-28.5832,+1.19634e+68-79.6276,+6.1829e+71-7.64736e+71,+1.1765e+140-28.5832
2009-01-01 00:16:00 ,+2.8254e+72+151.792,-2.32261e+76-1.48381e+74,+6.56244e+148-28.5737,+2.82248e+72-88.1737,+1.17413e+76-2.00126e+76,+6.54892e+148-28.5737,+2.82318e+72+31.7428,+1.1493e+76+2.01629e+76,+6.55215e+148-28.5737
2009-01-01 00:17:00 ,+6.66913e+76+160.315,-5.41684e+80-8.47696e+79,+0.0-28.5788,+6.6618e+76+40.28,+1.97528e+80+5.10813e+80,+0.0-28.5788,+6.66351e+76-79.6324,+3.44353e+80-4.26055e+80,+0.0-28.5788
2009-01-01 00:18:00 ,+1.57397e+81+151.791,-1.29398e+85-8.28265e+82,+0.0-28.5753,+1.57213e+81-88.1716,+6.54118e+84-1.11475e+85,+0.0-28.5753,+1.57255e+81+31.7366,+6.40314e+84+1.12314e+85,+0.0-28.5753
2009-01-01 00:19:00 ,+3.71493e+85+160.311,-3.01754e+89-4.71918e+88,+0.0-28.5772,+3.71034e+85+40.2729,+1.10063e+89+2.84497e+89,+0.0-28.5772,+3.71138e+85-79.6312,+1.91801e+89-2.37311e+89,+0.0-28.5772
2009-01-01 00:20:00 ,+8.76766e+89+151.792,-7.2082e+93-4.62292e+91,+0.0-28.5759,+8.75623e+89-88.1684,+3.64373e+93-6.20872e+93,+0.0-28.5759,+8.75877e+89+31.7315,+3.567e+93+6.25552e+93,+0.0-28.5759
2009-01-01 00:21:00 ,+2.06932e+94+160.309,-1.68089e+98-2.62802e+97,+0.0-28.5766,+2.06648e+94+40.2679,+6.1316e+97+1.58447e+98,+0.0-28.5766,+2.0671e+94-79.6279,+1.06834e+98-1.3217e+98,+0.0-28.5766
