# file...... load_data.csv
# date...... Wed Jan 29 16:18:53 2025
# user...... (null)
# host...... (null)
# target.... meter 11
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A,measured_voltage_B, measured_current_B, measured_power_B,measured_voltage_C, measured_current_C, measured_power_C
2009-01-01 00:00:00 PST,+398.948-0.267537d,+1.75284-0.38418j,+715.893+12.0948d,+398.827-120.395d,-1.21244-1.32363j,+715.892+12.0947d,+400.689+119.636d,-1.18925+1.33335j,+715.895-12.0949d
2009-01-01 00:01:00 PST,+6.79076e+06-179.3d,-3.35383e+10-3.43682e+10j,+3.26097e+17-44.9999d,+6.79164e+06+60.6925d,-1.299e+10+4.62369e+10j,+3.26182e+17-44.9999d,+6.79205e+06-59.2948d,+4.65428e+10-1.18592e+10j,+3.26221e+17-44.9999d
2009-01-01 00:02:00 PST,+1.36203e+11+156.008d,-8.94936e+14-5.73431e+12j,+1.21895e+26-24.3593d,+1.36185e+11-83.9831d,+4.52418e+14-7.72034e+14j,+1.21863e+26-24.3537d,+1.36209e+11+35.9907d,+4.42832e+14+7.7784e+14j,+1.21915e+26-24.356d
2009-01-01 00:03:00 PST,+3.87139e+15+167.335d,-2.7576e+19-1.01382e+19j,+1.13744e+35-32.8509d,+3.87099e+15+47.3227d,+5.01264e+18+2.89475e+19j,+1.13723e+35-32.8532d,+3.87142e+15-72.6509d,+2.25738e+19-1.88078e+19j,+1.13751e+35-32.8509d
2009-01-01 00:04:00 PST,+8.78256e+19+153.095d,-6.77501e+23-4.30758e+21j,+5.95032e+43-27.2695d,+8.78047e+19-86.8915d,+3.42516e+23-5.8437e+23j,+5.94747e+43-27.2673d,+8.78184e+19+33.0746d,+3.35223e+23+5.88731e+23j,+5.94952e+43-27.2683d
2009-01-01 00:05:00 PST,+2.20159e+24+162.778d,-1.71397e+28-3.84599e+27j,+3.86728e+52-29.8692d,+2.20102e+24+42.762d,+5.24208e+27+1.67608e+28j,+3.86531e+52-29.8705d,+2.20131e+24-77.2019d,+1.19039e+28-1.29148e+28j,+3.86638e+52-29.8695d
2009-01-01 00:06:00 PST,+5.13378e+28+152.234d,-4.13186e+32-2.62199e+30j,+2.12125e+61-28.1293d,+5.13193e+28-87.748d,+2.08892e+32-3.56329e+32j,+2.11972e+61-28.1283d,+5.13274e+28+32.21d,+2.04439e+32+3.58984e+32j,+2.12041e+61-28.1288d
2009-01-01 00:07:00 PST,+1.23721e+33+161.19d,-9.90309e+36-1.78199e+36j,+1.24489e+70-29.0105d,+1.2367e+33+41.1708d,+3.41005e+36+9.46236e+36j,+1.24388e+70-29.011d,+1.23689e+33-78.7839d,+6.49666e+36-7.68051e+36j,+1.24427e+70-29.0106d
2009-01-01 00:08:00 PST,+2.90812e+37+151.945d,-2.37315e+41-1.50624e+39j,+6.90155e+78-28.4185d,+2.9067e+37-88.0336d,+1.19977e+41-2.04624e+41j,+6.89478e+78-28.4181d,+2.90718e+37+31.9162d,+1.17421e+41+2.06149e+41j,+6.89714e+78-28.4183d
2009-01-01 00:09:00 PST,+6.91455e+41+160.627d,-5.58745e+45-9.20503e+44j,+3.91554e+87-28.7284d,+6.91075e+41+40.6039d,+1.99754e+45+5.29543e+45j,+3.91125e+87-28.7286d,+6.91193e+41-79.3421d,+3.59194e+45-4.37503e+45j,+3.9126e+87-28.7284d
2009-01-01 00:10:00 PST,+1.6296e+46+151.844d,-1.33622e+50-8.49095e+47j,+2.17755e+96-28.52d,+1.62858e+46-88.1314d,+6.75531e+49-1.15195e+50j,+2.17483e+96-28.5198d,+1.62888e+46+31.8101d,+6.61159e+49+1.16055e+50j,+2.17564e+96-28.5199d
2009-01-01 00:11:00 PST,+3.85626e+50+160.425d,-3.12658e+54-4.98295e+53j,+1.22091e+105-28.6304d,+3.8536e+50+40.3988d,+1.13232e+54+2.9543e+54j,+1.21923e+105-28.6305d,+3.85434e+50-79.5387d,+1.9954e+54-2.45607e+54j,+1.2197e+105-28.6304d
2009-01-01 00:12:00 PST,+9.09665e+54+151.809d,-7.4717e+58-4.75556e+56j,+6.79689e+113-28.5561d,+9.08975e+54-88.1638d,+3.77727e+58-6.44019e+58j,+6.78657e+113-28.556d,+9.09161e+54+31.7695d,+3.69706e+58+6.48834e+58j,+6.78936e+113-28.5561d
2009-01-01 00:13:00 PST,+2.14897e+59+160.352d,-1.74443e+63-2.74659e+62j,+3.7949e+122-28.5956d,+2.14719e+59+40.3228d,+6.34668e+62+1.64637e+63j,+3.78864e+122-28.5957d,+2.14765e+59-79.6063d,+1.11039e+63-1.37174e+63j,+3.79026e+122-28.5957d
2009-01-01 00:14:00 PST,+5.07093e+63+151.796d,-4.16764e+67-2.65744e+65j,+2.11342e+131-28.569d,+5.06639e+63-88.1729d,+2.10688e+67-3.59164e+67j,+2.10964e+131-28.569d,+5.06753e+63+31.752d,+2.06222e+67+3.61855e+67j,+2.11059e+131-28.569d
2009-01-01 00:15:00 PST,+1.19721e+68+160.325d,-9.72257e+71-1.52403e+71j,+1.17821e+140-28.5832d,+1.19606e+68+40.2931d,+3.54321e+71+9.17118e+71j,+1.17595e+140-28.5832d,+1.19634e+68-79.6276d,+6.1829e+71-7.64736e+71j,+1.1765e+140-28.5832d
2009-01-01 00:16:00 PST,+2.8254e+72+151.792d,-2.32261e+76-1.48381e+74j,+6.56244e+148-28.5737d,+2.82248e+72-88.1737d,+1.17413e+76-2.00126e+76j,+6.54892e+148-28.5737d,+2.82318e+72+31.7428d,+1.1493e+76+2.01629e+76j,+6.55215e+148-28.5737d
2009-01-01 00:17:00 PST,+6.66913e+76+160.315d,-5.41684e+80-8.47696e+79j,+inf-28.5788d,+6.6618e+76+40.28d,+1.97528e+80+5.10813e+80j,+inf-28.5788d,+6.66351e+76-79.6324d,+3.44353e+80-4.26055e+80j,+inf-28.5788d
2009-01-01 00:18:00 PST,+1.57397e+81+151.791d,-1.29398e+85-8.28265e+82j,+inf-28.5753d,+1.57213e+81-88.1716d,+6.54118e+84-1.11475e+85j,+inf-28.5753d,+1.57255e+81+31.7366d,+6.40314e+84+1.12314e+85j,+inf-28.5753d
2009-01-01 00:19:00 PST,+3.71493e+85+160.311d,-3.01754e+89-4.71918e+88j,+inf-28.5772d,+3.71034e+85+40.2729d,+1.10063e+89+2.84497e+89j,+inf-28.5772d,+3.71138e+85-79.6312d,+1.91801e+89-2.37311e+89j,+inf-28.5772d
2009-01-01 00:20:00 PST,+8.76766e+89+151.792d,-7.2082e+93-4.62292e+91j,+inf-28.5759d,+8.75623e+89-88.1684d,+3.64373e+93-6.20872e+93j,+inf-28.5759d,+8.75877e+89+31.7315d,+3.567e+93+6.25552e+93j,+inf-28.5759d
