# file...... substation_data.csv
# date...... Wed Jan 29 16:18:53 2025
# user...... (null)
# host...... (null)
# target.... meter 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A,measured_voltage_B, measured_current_B, measured_power_B,measured_voltage_C, measured_current_C, measured_power_C
2009-01-01 00:00:00 PST,+400-1.01754e-05d,+1.75284-0.384177j,+717.779+12.3623d,+400-120d,-1.21244-1.32363j,+717.997+12.4895d,+400+120d,-1.18925+1.33335j,+714.661-11.7305d
2009-01-01 00:01:00 PST,+2.22743e+11+0.0026643d,+2.18436e+10-1.58797e+11j,+3.57038e+22+82.1704d,+2.22792e+11-120.02d,-1.48431e+11+6.05088e+10j,+3.57115e+22+82.1584d,+2.22825e+11+120.018d,+1.26592e+11+9.83454e+10j,+3.57198e+22+82.1758d
2009-01-01 00:02:00 PST,+5.25702e+15-8.53305d,-4.61817e+13-3.7828e+15j,+1.98877e+31+82.1664d,+5.25783e+15+111.491d,+3.29844e+15+1.85198e+15j,+1.98893e+31+82.1784d,+5.25867e+15-128.551d,-3.25254e+15+1.93216e+15j,+1.98943e+31+82.161d
2009-01-01 00:03:00 PST,+1.24073e+20+0.00194353d,+1.21656e+19-8.84535e+19j,+1.1078e+40+82.1708d,+1.24083e+20-120.024d,-8.26657e+19+3.37062e+19j,+1.10773e+40+82.1588d,+1.24104e+20+120.023d,+7.05027e+19+5.47794e+19j,+1.10804e+40+82.1762d
2009-01-01 00:04:00 PST,+2.92828e+24-8.53233d,-2.57032e+22-2.10711e+24j,+6.17067e+48+82.1666d,+2.92833e+24+111.495d,+1.837e+24+1.03157e+24j,+6.16947e+48+82.1785d,+2.92886e+24-128.556d,-1.81145e+24+1.07628e+24j,+6.1713e+48+82.1612d
2009-01-01 00:05:00 PST,+6.91113e+28+0.00122287d,+6.77578e+27-4.92707e+28j,+3.43721e+57+82.1709d,+6.91077e+28-120.028d,-4.60391e+28+1.87757e+28j,+3.43607e+57+82.159d,+6.91211e+28+120.027d,+3.92647e+28+3.05128e+28j,+3.43717e+57+82.1763d
2009-01-01 00:06:00 PST,+1.63112e+33-8.53161d,-1.43036e+31-1.17371e+33j,+1.9146e+66+82.1666d,+1.63092e+33+111.499d,+1.02307e+33+5.74598e+32j,+1.91371e+66+82.1786d,+1.63126e+33-128.56d,-1.00885e+33+5.99527e+32j,+1.91436e+66+82.1612d
2009-01-01 00:07:00 PST,+3.84965e+37+0.000502327d,+3.77389e+36-2.74449e+37j,+1.06648e+75+82.171d,+3.84893e+37-120.032d,-2.56406e+37+1.04588e+37j,+1.06583e+75+82.159d,+3.84976e+37+120.032d,+2.18675e+37+1.69961e+37j,+1.06622e+75+82.1764d
2009-01-01 00:08:00 PST,+9.08569e+41-8.53089d,-7.95944e+39-6.53784e+41j,+5.94052e+83+82.1666d,+9.08337e+41+111.503d,+5.69776e+41+3.20058e+41j,+5.93612e+83+82.1786d,+9.08542e+41-128.565d,-5.61864e+41+3.33956e+41j,+5.9384e+83+82.1613d
2009-01-01 00:09:00 PST,+2.14434e+46-0.000218096d,+2.10195e+45-1.52875e+46j,+3.309e+92+82.171d,+2.14365e+46-120.035d,-1.42801e+46+5.82595e+45j,+3.3061e+92+82.1591d,+2.14416e+46+120.036d,+1.21786e+46+9.46708e+45j,+3.30745e+92+82.1764d
2009-01-01 00:10:00 PST,+5.06094e+50-8.53017d,-4.42906e+48-3.64172e+50j,+1.84319e+101+82.1666d,+5.05895e+50+111.506d,+3.17323e+50+1.78276e+50j,+1.84132e+101+82.1786d,+5.0602e+50-128.569d,-3.1292e+50+1.86025e+50j,+1.84211e+101+82.1613d
