# Volt_Dump_NR.csv run at 2013-08-28 04:00:00 PST on 804 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node650,138000.000000,0.000000,-69000.000000,-119497.000000,-69000.000000,119497.000000
n3,0.000000,0.000000,0.000000,0.000000,-1200.908528,2125.325932
n8,2416.867452,-48.604842,-1243.107407,-2099.748405,-1189.669419,2119.226602
n13,2402.367651,-64.843901,-1246.433596,-2091.169398,-1178.004280,2114.294535
n14,2475.720919,-50.704543,0.000000,0.000000,0.000000,0.000000
n1401,2476.543189,-50.241361,0.000000,0.000000,0.000000,0.000000
n15,0.000000,0.000000,0.000000,0.000000,-1177.349038,2113.912090
n18,2393.035761,-79.239190,-1247.128224,-2075.190297,-1166.067675,2106.006740
n21,2392.849762,-79.774186,-1247.126339,-2075.234491,-1165.498961,2105.661143
n23,2392.729611,-80.298692,-1247.048851,-2075.476042,-1164.996144,2105.301127
n25,2392.486737,-80.870919,-1247.047602,-2075.729675,-1164.683960,2104.941935
n26,2452.210361,-83.152019,0.000000,0.000000,-1193.555521,2157.424384
n2601,2452.298906,-82.892692,-1278.223792,-2127.622917,-1193.801059,2157.565483
n27,2452.052046,-83.343417,0.000000,0.000000,-1193.610039,2157.355443
n36,2388.127050,-84.902726,-1246.742954,-2067.238501,0.000000,0.000000
n40,2385.653399,-86.367155,-1246.442025,-2064.602219,-1158.153495,2104.257039
n44,2380.426022,-89.442584,-1246.485101,-2059.282796,-1152.278408,2102.329219
n54,2377.866121,-92.086604,-1254.755536,-2082.613539,-1161.827561,2106.527907
n57,2367.848782,-105.628986,-1257.289507,-2075.748060,-1154.990608,2102.765390
n61,2346.472854,-134.871583,-1262.479595,-2061.672525,-1140.204445,2094.429624
n67,2397.395449,-150.984851,-1297.333051,-2108.367066,-1163.355775,2141.560411
n6701,2405.134675,-138.243373,-1294.041585,-2113.214338,-1168.709557,2146.790364
n72,2395.300124,-156.539610,-1295.432564,-2106.861777,-1157.283713,2139.537635
n78,2393.278959,-160.975599,-1294.430201,-2105.272387,-1152.875459,2137.966832
n81,2393.430751,-161.514278,-1294.115720,-2105.178489,-1151.514581,2137.506442
n89,2393.065335,-178.046296,-1288.183537,-2107.775270,-1131.249871,2132.336511
n91,2394.825122,-177.795767,-1286.634205,-2107.443323,-1127.085318,2132.563641
n93,2394.665053,-177.875729,-1286.750481,-2107.303561,-1127.169300,2132.565292
n97,2393.661141,-154.549954,-1300.807102,-2105.871006,-1165.112806,2141.216260
n101,2390.016686,-158.016581,-1304.251009,-2103.522328,-1166.987478,2140.885643
n105,2385.770494,-161.802309,-1308.316366,-2100.922129,-1169.646265,2140.628988
n108,2382.047346,-168.151321,-1309.578274,-2103.227008,-1170.966387,2138.083909
n110,2360.728636,-185.170677,0.000000,0.000000,0.000000,0.000000
n135,2393.035761,-79.239190,-1247.128224,-2075.190297,-1166.067675,2106.006740
n149,2461.526577,-0.692565,-1231.246181,-2131.177671,-1230.282070,2131.807158
n1491,2461.526577,-0.692565,-1231.246181,-2131.177671,-1230.282070,2131.807158
n150,2401.489343,-0.675674,-1201.215786,-2079.197728,-1200.275190,2079.811862
