# Current_Dump_NR.csv run at 2013-08-28 04:00:00 PST on 804 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
substation_transformer,8.291462,-2.150108,-5.775458,-4.725766,-1.803350,6.963515
linobj12,0.000000,0.000000,-42.888640,-71.961304,0.000000,0.000000
linobj13,0.000000,0.000000,0.000000,0.000000,-42.775987,81.477477
linobj17,460.872312,-119.468436,-280.860739,-192.946505,-58.312695,308.869677
linobj34,0.000000,0.000000,0.000000,0.000000,-1.036745,3.917813
linobj35,0.000000,0.000000,0.000000,0.000000,-41.739242,77.559665
linobj56,0.000000,0.000000,0.000000,0.000000,-1.022128,3.909220
linobj78,458.907712,-118.904290,-280.860739,-192.946505,-58.312695,308.869677
linobj812,0.000000,0.000000,-1.472385,-1.433567,0.000000,0.000000
linobj89,9.966553,-2.841945,0.000000,0.000000,0.000000,0.000000
linobj813,448.941159,-116.062345,-279.388353,-191.512939,-58.312695,308.869677
linobj140114,5.955439,-1.706095,0.000000,0.000000,0.000000,0.000000
linobj1334,0.000000,0.000000,0.000000,0.000000,-2.500280,9.758539
linobj1318,155.022611,-36.235905,-137.879927,-68.587497,-7.861362,110.759258
linobj1411,3.954802,-1.120574,0.000000,0.000000,0.000000,0.000000
linobj1410,2.000637,-0.585520,0.000000,0.000000,0.000000,0.000000
linobj1516,0.000000,0.000000,0.000000,0.000000,-1.003602,3.890036
linobj1517,0.000000,0.000000,0.000000,0.000000,-0.492172,1.977547
linobj1819,7.621976,-2.265048,0.000000,0.000000,0.000000,0.000000
linobj1821,11.621163,-3.462476,-2.874385,-2.809273,-2.989882,11.873793
linobj1920,3.810445,-1.132582,0.000000,0.000000,0.000000,0.000000
linobj2122,0.000000,0.000000,-2.874385,-2.809273,0.000000,0.000000
linobj2123,11.621163,-3.462476,0.000000,0.000000,-2.989882,11.873793
linobj2324,0.000000,0.000000,0.000000,0.000000,-0.987343,3.871590
linobj2325,11.621163,-3.462476,0.000000,0.000000,-2.002540,8.002202
linobj260126,3.902493,-1.163253,0.000000,0.000000,-0.990932,4.031248
linobj2528,7.621107,-2.270142,0.000000,0.000000,-0.986834,3.870173
linobj2627,3.902493,-1.163253,0.000000,0.000000,0.000000,0.000000
linobj2631,0.000000,0.000000,0.000000,0.000000,-0.990932,4.031248
linobj2733,3.902493,-1.163253,0.000000,0.000000,0.000000,0.000000
linobj2829,3.810695,-1.135275,0.000000,0.000000,-0.986834,3.870173
linobj2930,0.000000,0.000000,0.000000,0.000000,-0.986834,3.870173
linobj30250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj3132,0.000000,0.000000,0.000000,0.000000,-0.495445,2.015686
linobj3415,0.000000,0.000000,0.000000,0.000000,-1.495774,5.867582
linobj3536,3.801733,-1.139402,-2.936567,-2.812450,0.000000,0.000000
linobj3540,89.382577,-47.103590,-89.473813,-45.231164,-4.871480,98.885465
linobj3637,3.801733,-1.139402,0.000000,0.000000,0.000000,0.000000
linobj3638,0.000000,0.000000,-2.936567,-2.812450,0.000000,0.000000
linobj3839,0.000000,0.000000,-1.468346,-1.406232,0.000000,0.000000
linobj4041,0.000000,0.000000,0.000000,0.000000,-0.478793,1.965822
linobj4042,89.382577,-47.103590,-89.473813,-45.231164,-4.392687,96.919643
linobj4243,0.000000,0.000000,-2.867754,-2.787695,0.000000,0.000000
linobj4244,87.463962,-46.507732,-86.606059,-42.443469,-4.392687,96.919643
linobj4445,3.831982,-1.193032,0.000000,0.000000,0.000000,0.000000
linobj4447,83.631980,-45.314700,-86.606059,-42.443469,-4.392687,96.919643
linobj4546,1.915936,-0.596544,0.000000,0.000000,0.000000,0.000000
linobj4748,28.053772,-21.711323,-32.940963,-14.142157,4.276450,35.448772
linobj4749,41.414356,-12.644803,-37.210061,-21.234683,-10.810997,43.691135
linobj4950,1.912856,-0.597902,0.000000,0.000000,-0.961054,3.858276
linobj5051,1.912856,-0.597902,0.000000,0.000000,0.000000,0.000000
linobj51151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj5253,290.113370,-78.694828,-141.508426,-122.925441,-47.951053,188.351880
linobj5354,286.321739,-77.553944,-141.508426,-122.925441,-47.951053,188.351880
linobj5455,1.913525,-0.598035,-1.478154,-1.416992,0.000000,0.000000
linobj5457,284.408214,-76.955909,-140.030272,-121.508450,-47.951053,188.351880
linobj5556,0.000000,0.000000,-1.478154,-1.416992,0.000000,0.000000
linobj5758,0.000000,0.000000,-2.957153,-2.821369,0.000000,0.000000
linobj5760,284.408214,-76.955909,-137.073119,-118.687081,-47.951053,188.351880
linobj5859,0.000000,0.000000,-1.478672,-1.410743,0.000000,0.000000
linobj6061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj6062,21.442931,-21.513924,-21.576051,-12.027821,-4.162955,38.085901
linobj6263,21.442931,-21.513924,-21.576051,-12.027821,-3.209790,34.243536
linobj6364,17.729302,-20.314724,-21.576051,-12.027821,-3.209790,34.243536
linobj6465,17.729302,-20.314724,-16.293056,-6.906243,-3.209790,34.243536
linobj6566,0.000000,0.000000,0.000000,0.000000,-1.773544,7.022569
linobj6768,11.399648,-3.800758,0.000000,0.000000,0.000000,0.000000
linobj6772,137.280995,-35.938002,-60.234684,-26.838517,-39.323681,132.821944
linobj6797,106.037286,-13.740133,-52.445383,-77.219298,-3.396415,13.779011
linobj6869,9.484011,-3.150467,0.000000,0.000000,0.000000,0.000000
linobj6970,5.698206,-1.900711,0.000000,0.000000,0.000000,0.000000
linobj7071,3.784050,-1.250150,0.000000,0.000000,0.000000,0.000000
linobj7273,0.000000,0.000000,0.000000,0.000000,-2.876102,11.761368
linobj7276,137.280995,-35.938002,-60.234684,-26.838517,-36.447578,121.060576
linobj7374,0.000000,0.000000,0.000000,0.000000,-1.916532,7.840317
linobj7475,0.000000,0.000000,0.000000,0.000000,-0.958154,3.920500
linobj7677,7.556180,-2.528374,-5.925695,-5.676998,-1.881509,7.896086
linobj7686,90.843712,-8.938021,-10.440979,-9.976663,-39.552977,77.508027
linobj7778,7.556180,-2.528374,-2.962758,-2.838329,-1.881509,7.896086
linobj7879,3.777918,-1.263664,0.000000,0.000000,0.000000,0.000000
linobj7880,3.778263,-1.264710,-2.962758,-2.838329,-1.881509,7.896086
linobj8081,3.778263,-1.264710,0.000000,0.000000,-1.881509,7.896086
linobj8182,3.778263,-1.264710,0.000000,0.000000,-0.465980,1.990904
linobj8184,0.000000,0.000000,0.000000,0.000000,-1.415528,5.905182
linobj8283,0.000000,0.000000,0.000000,0.000000,-0.465980,1.990904
linobj8485,0.000000,0.000000,0.000000,0.000000,-0.950342,3.915164
linobj8687,90.843712,-8.938021,-8.928108,-8.548069,-39.552977,77.508027
linobj8788,87.070148,-7.646449,0.000000,0.000000,0.000000,0.000000
linobj8789,3.773564,-1.291572,-5.971662,-5.703291,-39.552977,77.508027
linobj8990,0.000000,0.000000,-2.953364,-2.844238,0.000000,0.000000
linobj8991,3.773564,-1.291572,-3.018298,-2.859053,-39.552977,77.508027
linobj9192,0.000000,0.000000,0.000000,0.000000,-39.552977,77.508027
linobj9193,3.773564,-1.291572,-3.018298,-2.859053,0.000000,0.000000
linobj9394,3.773564,-1.291572,0.000000,0.000000,0.000000,0.000000
linobj9395,0.000000,0.000000,-3.018298,-2.859053,0.000000,0.000000
linobj9596,0.000000,0.000000,-1.509183,-1.429524,0.000000,0.000000
linobj9798,3.782430,-1.253728,-2.972307,-2.834994,-0.971934,3.929253
linobj9899,0.000000,0.000000,-2.972307,-2.834994,-0.971934,3.929253
linobj99100,0.000000,0.000000,0.000000,0.000000,-0.971934,3.929253
linobj100450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj101102,0.000000,0.000000,0.000000,0.000000,-2.424482,9.849758
linobj101105,102.254856,-12.486405,-49.473076,-74.384304,0.000000,0.000000
linobj102103,0.000000,0.000000,0.000000,0.000000,-1.947067,7.853176
linobj103104,0.000000,0.000000,0.000000,0.000000,-0.973039,3.926288
linobj105106,0.000000,0.000000,-49.473076,-74.384304,0.000000,0.000000
linobj105108,102.254856,-12.486405,0.000000,0.000000,0.000000,0.000000
linobj106107,0.000000,0.000000,-46.490977,-71.571231,0.000000,0.000000
linobj108109,102.254856,-12.486405,0.000000,0.000000,0.000000,0.000000
linobj108300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj109110,98.522260,-11.204749,0.000000,0.000000,0.000000,0.000000
linobj110111,1.879053,-0.670078,0.000000,0.000000,0.000000,0.000000
linobj110112,96.643208,-10.534671,0.000000,0.000000,0.000000,0.000000
linobj112113,94.766997,-9.863115,0.000000,0.000000,0.000000,0.000000
linobj113114,91.082261,-8.558123,0.000000,0.000000,0.000000,0.000000
linobj13535,135.779473,-30.508381,-135.005542,-65.778225,-4.871480,98.885465
linobj1491,464.786645,-120.526549,-323.749379,-264.907810,-101.088682,390.347154
linobj15252,293.918547,-79.826440,-141.508426,-122.925441,-47.951053,188.351880
linobj670167,254.717930,-53.478893,-112.680067,-104.057814,-42.720096,146.600955
linobj197101,102.254856,-12.486405,-49.473076,-74.384304,-2.424482,9.849758
triplex_l1,3.914334,-1.058113,0.000000,0.000000,0.000000,0.000000
l1_tpn_tm,38.761469,-10.094004,-38.761469,10.094004,0.000000,0.000000
triplex_l2,0.000000,0.000000,-1.470417,-1.441736,0.000000,0.000000
l2_tpn_tm,-14.079878,-14.318645,14.079878,14.318645,0.000000,0.000000
triplex_l4,0.000000,0.000000,0.000000,0.000000,-1.036745,3.917813
l4_tpn_tm,-10.598791,38.604312,10.598791,-38.604312,0.000000,0.000000
triplex_l5,0.000000,0.000000,0.000000,0.000000,-0.501499,1.987324
l5_tpn_tm,-5.243359,19.287129,5.243359,-19.287129,0.000000,0.000000
triplex_l6,0.000000,0.000000,0.000000,0.000000,-1.022128,3.909220
l6_tpn_tm,-10.453602,38.520810,10.453602,-38.520810,0.000000,0.000000
triplex_l7,1.964600,-0.564146,0.000000,0.000000,0.000000,0.000000
l7_tpn_tm,19.255251,-5.150718,-19.255251,5.150718,0.000000,0.000000
triplex_l9,3.862228,-1.093198,0.000000,0.000000,0.000000,0.000000
l9_tpn_tm,38.250119,-10.445472,-38.250119,10.445472,0.000000,0.000000
