# Volt_Dump_NR.csv run at 2013-08-28 18:00:00 PST on 804 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node650,138000.000000,0.000000,-69000.000000,-119497.000000,-69000.000000,119497.000000
n3,0.000000,0.000000,0.000000,0.000000,-1186.822292,2118.955017
n8,2386.195834,-78.672814,-1252.506159,-2090.544795,-1165.691272,2108.270553
n13,2362.873864,-103.135079,-1258.458049,-2078.530288,-1146.339384,2100.282190
n14,2440.202709,-83.772966,0.000000,0.000000,0.000000,0.000000
n1401,2443.161816,-82.132314,0.000000,0.000000,0.000000,0.000000
n15,0.000000,0.000000,0.000000,0.000000,-1143.988802,2098.901540
n18,2346.447046,-126.738778,-1261.655540,-2062.083759,-1130.648285,2086.842016
n21,2345.742578,-128.613249,-1261.666595,-2062.216031,-1128.635421,2085.617599
n23,2345.281090,-130.461625,-1261.402697,-2063.071091,-1126.854032,2084.335204
n25,2344.376563,-132.475693,-1261.413345,-2063.966705,-1125.757668,2083.061378
n26,2402.652881,-136.698884,0.000000,0.000000,-1153.032695,2134.641390
n2601,2402.985977,-135.787585,-1292.948679,-2115.565873,-1153.901609,2135.137913
n27,2402.074866,-137.371472,0.000000,0.000000,-1153.231950,2134.398955
n36,2338.768463,-134.280430,-1262.716656,-2052.246092,0.000000,0.000000
n40,2336.853014,-135.735686,-1261.701353,-2050.529885,-1121.939506,2084.634449
n44,2330.582573,-139.878745,-1262.003744,-2045.351855,-1115.593189,2082.228912
n54,2323.504382,-141.106994,-1272.303465,-2060.738937,-1119.029592,2089.147580
n57,2308.336558,-159.447420,-1276.085859,-2047.983104,-1107.170154,2084.097137
n61,2276.156784,-199.552018,-1283.329143,-2022.939890,-1081.269803,2072.290890
n67,2320.996106,-221.810491,-1320.297978,-2064.797604,-1099.301189,2116.529315
n6701,2333.060704,-204.540818,-1315.412372,-2073.513387,-1108.301548,2124.098162
n72,2317.975896,-228.187978,-1318.494664,-2060.777746,-1090.913104,2114.344747
n78,2313.960038,-234.147464,-1318.533145,-2056.021741,-1084.872657,2112.442940
n81,2314.439199,-236.016446,-1317.432512,-2055.666893,-1080.091286,2110.771586
n89,2309.865529,-251.508870,-1315.461953,-2052.085784,-1064.504302,2108.118714
n91,2311.483029,-251.495309,-1313.973337,-2051.443229,-1059.971892,2108.174328
n93,2310.903989,-251.759253,-1314.385559,-2050.934094,-1060.274555,2108.190192
