# Current_Dump_NR.csv run at 2013-08-28 18:00:00 PST on 804 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
substation_transformer,13.145402,-3.984655,-8.056611,-6.762656,-2.684008,10.987237
linobj12,0.000000,0.000000,-46.884020,-75.745516,0.000000,0.000000
linobj13,0.000000,0.000000,0.000000,0.000000,-49.482543,107.728891
linobj17,722.702634,-219.515200,-404.737792,-303.342280,-100.972350,508.172280
linobj34,0.000000,0.000000,0.000000,0.000000,-3.766885,14.189272
linobj35,0.000000,0.000000,0.000000,0.000000,-45.715657,93.539620
linobj56,0.000000,0.000000,0.000000,0.000000,-3.704629,14.149681
linobj78,715.652796,-217.507261,-404.737792,-303.342280,-100.972350,508.172280
linobj812,0.000000,0.000000,-5.290306,-5.222404,0.000000,0.000000
linobj89,35.699576,-10.468046,0.000000,0.000000,0.000000,0.000000
linobj813,679.953221,-207.039215,-399.447486,-298.119876,-100.972350,508.172280
linobj140114,21.309457,-6.260558,0.000000,0.000000,0.000000,0.000000
linobj1334,0.000000,0.000000,0.000000,0.000000,-8.881235,35.100504
linobj1318,233.312580,-63.533811,-161.867437,-89.741486,-18.407677,156.551990
linobj1411,14.169114,-4.157404,0.000000,0.000000,0.000000,0.000000
linobj1410,7.140343,-2.103155,0.000000,0.000000,0.000000,0.000000
linobj1516,0.000000,0.000000,0.000000,0.000000,-3.543813,14.009095
linobj1517,0.000000,0.000000,0.000000,0.000000,-1.781787,7.070340
linobj1819,27.092021,-8.545469,0.000000,0.000000,0.000000,0.000000
linobj1821,41.278763,-13.136230,-10.480836,-10.168805,-10.569072,42.503109
linobj1920,13.538899,-4.273367,0.000000,0.000000,0.000000,0.000000
linobj2122,0.000000,0.000000,-10.480836,-10.168805,0.000000,0.000000
linobj2123,41.278763,-13.136230,0.000000,0.000000,-10.569072,42.503109
linobj2324,0.000000,0.000000,0.000000,0.000000,-3.464082,13.902628
linobj2325,41.278763,-13.136230,0.000000,0.000000,-7.104990,28.600481
linobj260126,13.852563,-4.415028,0.000000,0.000000,-3.558373,14.357462
linobj2528,27.079886,-8.610826,0.000000,0.000000,-3.457657,13.884082
linobj2627,13.852563,-4.415028,0.000000,0.000000,0.000000,0.000000
linobj2631,0.000000,0.000000,0.000000,0.000000,-3.558373,14.357462
linobj2733,13.852563,-4.415028,0.000000,0.000000,0.000000,0.000000
linobj2829,13.541757,-4.308117,0.000000,0.000000,-3.457657,13.884082
linobj2930,0.000000,0.000000,0.000000,0.000000,-3.457657,13.884082
linobj30250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj3132,0.000000,0.000000,0.000000,0.000000,-1.778899,7.179617
linobj3415,0.000000,0.000000,0.000000,0.000000,-5.325600,21.079434
linobj3536,13.501716,-4.303121,-10.579595,-10.194480,0.000000,0.000000
linobj3540,108.059354,-55.123357,-97.426280,-51.803835,-7.838605,114.048881
linobj3637,13.501716,-4.303121,0.000000,0.000000,0.000000,0.000000
linobj3638,0.000000,0.000000,-10.579595,-10.194480,0.000000,0.000000
linobj3839,0.000000,0.000000,-5.290712,-5.097377,0.000000,0.000000
linobj4041,0.000000,0.000000,0.000000,0.000000,-1.728261,7.013701
linobj4042,108.059354,-55.123357,-97.426280,-51.803835,-6.110344,107.035180
linobj4243,0.000000,0.000000,-10.459246,-10.080266,0.000000,0.000000
linobj4244,101.264980,-52.939139,-86.967035,-41.723570,-6.110344,107.035180
linobj4445,13.557492,-4.376253,0.000000,0.000000,0.000000,0.000000
linobj4447,87.707488,-48.562885,-86.967035,-41.723570,-6.110344,107.035180
linobj4546,6.778098,-2.188511,0.000000,0.000000,0.000000,0.000000
linobj4748,27.009839,-21.892785,-33.007806,-13.841227,4.551237,34.880637
linobj4749,46.784055,-15.395486,-37.445007,-20.955157,-12.975595,54.396392
linobj4950,6.769087,-2.195006,0.000000,0.000000,-3.374551,13.860117
linobj5051,6.769087,-2.195006,0.000000,0.000000,0.000000,0.000000
linobj51151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj5253,433.107355,-139.258612,-237.580049,-208.378390,-73.683438,316.519786
linobj5354,419.648747,-134.966607,-237.580049,-208.378390,-73.683438,316.519786
linobj5455,6.759304,-2.185438,-5.326289,-5.117528,0.000000,0.000000
linobj5457,412.889443,-132.781169,-232.253760,-203.260862,-73.683438,316.519786
linobj5556,0.000000,0.000000,-5.326289,-5.117528,0.000000,0.000000
linobj5758,0.000000,0.000000,-10.651598,-10.148891,0.000000,0.000000
linobj5760,412.889443,-132.781169,-221.602162,-193.111970,-73.683438,316.519786
linobj5859,0.000000,0.000000,-5.327155,-5.075264,0.000000,0.000000
linobj6061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj6062,29.877764,-24.805047,-35.404457,-24.648114,-9.829865,65.576953
linobj6263,29.877764,-24.805047,-35.404457,-24.648114,-6.602049,51.813241
linobj6364,16.829836,-20.224481,-35.404457,-24.648114,-6.602049,51.813241
linobj6465,16.829836,-20.224481,-16.098829,-6.514359,-6.602049,51.813241
linobj6566,0.000000,0.000000,0.000000,0.000000,-5.871043,25.074401
linobj6768,39.793125,-14.444490,0.000000,0.000000,0.000000,0.000000
linobj6772,176.718515,-54.449596,-103.672055,-65.693390,-50.907999,195.649504
linobj6797,150.736664,-34.181281,-77.984242,-98.661591,-11.388170,49.172772
linobj6869,33.108633,-12.020269,0.000000,0.000000,0.000000,0.000000
linobj6970,19.875762,-7.226093,0.000000,0.000000,0.000000,0.000000
linobj7071,13.210255,-4.798736,0.000000,0.000000,0.000000,0.000000
