# Volt_Dump_NR.csv run at 2013-08-28 12:00:00 PST on 804 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node650,138000.000000,0.000000,-69000.000000,-119497.000000,-69000.000000,119497.000000
n3,0.000000,0.000000,0.000000,0.000000,-1186.721282,2118.908397
n8,2385.968266,-78.880939,-1252.574392,-2090.472886,-1165.520316,2108.190739
n13,2362.580838,-103.399666,-1258.545269,-2078.431842,-1146.113629,2100.180088
n14,2439.939558,-84.002186,0.000000,0.000000,0.000000,0.000000
n1401,2442.914323,-82.353214,0.000000,0.000000,0.000000,0.000000
n15,0.000000,0.000000,0.000000,0.000000,-1143.750785,2098.792037
n18,2346.101060,-127.068212,-1261.761325,-2061.980747,-1130.396112,2086.702891
n21,2345.392610,-128.952148,-1261.772548,-2062.113532,-1128.372910,2085.472074
n23,2344.928453,-130.809942,-1261.507384,-2062.972999,-1126.582369,2084.182945
n25,2344.018917,-132.834239,-1261.518210,-2063.873205,-1125.480440,2082.902490
n26,2402.284432,-137.071024,0.000000,0.000000,-1152.744045,2134.475926
n2601,2402.619390,-136.155095,-1293.056165,-2115.470035,-1153.617451,2134.975053
n27,2401.703302,-137.747006,0.000000,0.000000,-1152.944375,2134.232267
n36,2338.402012,-134.622853,-1262.832960,-2052.128842,0.000000,0.000000
n40,2336.490639,-136.078201,-1261.812488,-2050.419505,-1121.681670,2084.492104
n44,2330.212451,-140.228810,-1262.116812,-2045.242394,-1115.332000,2082.083112
n54,2323.101400,-141.443545,-1272.430097,-2060.570591,-1118.724904,2089.020832
n57,2307.895252,-159.816358,-1276.220970,-2047.771052,-1106.829875,2083.961035
n61,2275.635002,-199.994641,-1283.478033,-2022.646393,-1080.850749,2072.129491
n67,2320.429026,-222.294921,-1320.461718,-2064.467771,-1098.846040,2116.347065
n6701,2332.525877,-204.994507,-1315.564984,-2073.212553,-1107.872018,2123.932728
n72,2317.401911,-228.677867,-1318.658796,-2060.429461,-1090.441389,2114.161138
n78,2313.371289,-234.647468,-1318.704409,-2055.650016,-1084.389360,2112.256966
n81,2313.852517,-236.525825,-1317.598133,-2055.293269,-1079.583626,2110.576437
n89,2309.248625,-252.009917,-1315.655121,-2051.666528,-1064.029859,2107.942672
n91,2310.865057,-251.997960,-1314.166898,-2051.021660,-1059.494823,2107.997034
n93,2310.282957,-252.263082,-1314.581204,-2050.509751,-1059.799070,2108.013081
n97,2315.241020,-227.159445,-1324.277020,-2060.933489,-1099.729011,2115.636238
n101,2310.385422,-231.690486,-1327.986643,-2057.940845,-1101.028881,2114.972396
n105,2304.198163,-236.564379,-1333.055905,-2054.575661,-1104.584318,2114.654115
n108,2298.351880,-244.756315,-1335.056109,-2057.560535,-1106.693149,2111.349220
n110,2268.062994,-264.917319,0.000000,0.000000,0.000000,0.000000
n135,2346.101060,-127.068212,-1261.761325,-2061.980747,-1130.396112,2086.702891
n149,2461.302182,-1.093316,-1231.394511,-2130.951206,-1229.918281,2131.831371
n1491,2461.302182,-1.093316,-1231.394511,-2130.951206,-1229.918281,2131.831371
n150,2401.270421,-1.066650,-1201.360498,-2078.976786,-1199.920274,2079.835484
n151,2326.384726,-143.852394,-1261.189949,-2041.266632,-1108.681268,2080.303259
n152,2362.580838,-103.399666,-1258.545269,-2078.431842,-1146.113629,2100.180088
n160,2275.635002,-199.994641,-1283.478033,-2022.646393,-1080.850749,2072.129491
n195,2310.156143,-251.935121,-1314.909201,-2049.581079,-1059.945425,2108.367725
n197,2315.241020,-227.159445,-1324.277020,-2060.933489,-1099.729011,2115.636238
n250,2343.806111,-134.550735,-1261.112870,-2064.686578,-1123.372022,2081.645584
n251,2343.806111,-134.550735,-1261.112870,-2064.686578,-1123.372022,2081.645584
n300,2298.351880,-244.756315,-1335.056109,-2057.560535,-1106.693149,2111.349220
n350,2298.351880,-244.756315,-1335.056109,-2057.560535,-1106.693149,2111.349220
n450,2315.690726,-227.063611,-1323.786995,-2058.721567,-1096.992175,2115.809281
n451,2315.690726,-227.063611,-1323.786995,-2058.721567,-1096.992175,2115.809281
n610,265.984569,-17.287399,-144.682320,-227.593371,-121.302249,244.880770
n611,2275.635002,-199.994641,-1283.478033,-2022.646393,-1080.850749,2072.129491
l1,2428.055591,-34.757573,-1241.186438,-2109.567702,-1196.722491,2122.542418
l1_tn,120.070068,-2.048430,120.070068,-2.048430,0.000000,0.000000
l1_tm,120.070068,-2.048430,120.070068,-2.048430,0.000000,0.000000
l1_tpn,120.441088,-2.029734,120.441088,-2.029734,0.000000,0.000000
l2,0.000000,0.000000,-1242.502427,-2104.134394,0.000000,0.000000
l2_tn,-61.893912,-104.482907,-61.893912,-104.482907,0.000000,0.000000
l2_tm,-61.893912,-104.482907,-61.893912,-104.482907,0.000000,0.000000
l2_tpn,-61.989102,-104.671517,-61.989102,-104.671517,0.000000,0.000000
l4,0.000000,0.000000,0.000000,0.000000,-1185.802748,2118.383287
l4_tn,-58.329161,104.882864,-58.329161,104.882864,0.000000,0.000000
l4_tm,-58.329161,104.882864,-58.329161,104.882864,0.000000,0.000000
l4_tpn,-58.556285,105.233378,-58.556285,105.233378,0.000000,0.000000
l5,0.000000,0.000000,0.000000,0.000000,-1175.212329,2115.037476
l5_tn,-58.256114,105.188879,-58.256114,105.188879,0.000000,0.000000
l5_tm,-58.256114,105.188879,-58.256114,105.188879,0.000000,0.000000
l5_tpn,-58.371491,105.367628,-58.371491,105.367628,0.000000,0.000000
l6,0.000000,0.000000,0.000000,0.000000,-1174.070648,2114.379601
l6_tn,-57.751165,104.685601,-57.751165,104.685601,0.000000,0.000000
l6_tm,-57.751165,104.685601,-57.751165,104.685601,0.000000,0.000000
l6_tpn,-57.974738,105.033236,-57.974738,105.033236,0.000000,0.000000
l7,2402.680035,-61.384237,-1248.067348,-2098.184461,-1178.043570,2113.876452
l7_tn,119.369836,-3.217992,119.369836,-3.217992,0.000000,0.000000
l7_tm,119.369836,-3.217992,119.369836,-3.217992,0.000000,0.000000
l7_tpn,119.608940,-3.208315,119.608940,-3.208315,0.000000,0.000000
l9,2383.331047,-80.344599,0.000000,0.000000,0.000000,0.000000
l9_tn,117.896834,-4.295600,117.896834,-4.295600,0.000000,0.000000
l9_tm,117.896834,-4.295600,117.896834,-4.295600,0.000000,0.000000
l9_tpn,118.216131,-4.285703,118.216131,-4.285703,0.000000,0.000000
l10,2439.352874,-84.326876,0.000000,0.000000,0.000000,0.000000
l10_tn,121.215907,-4.359627,121.215907,-4.359627,0.000000,0.000000
l10_tm,121.215907,-4.359627,121.215907,-4.359627,0.000000,0.000000
l10_tpn,121.433216,-4.352789,121.433216,-4.352789,0.000000,0.000000
l11,2438.776380,-84.647479,0.000000,0.000000,0.000000,0.000000
l11_tn,120.634188,-4.515957,120.634188,-4.515957,0.000000,0.000000
l11_tm,120.634188,-4.515957,120.634188,-4.515957,0.000000,0.000000
l11_tpn,120.966424,-4.505991,120.966424,-4.505991,0.000000,0.000000
l12,0.000000,0.000000,-1252.574466,-2089.870146,0.000000,0.000000
l12_tn,-62.418981,-103.822874,-62.418981,-103.822874,0.000000,0.000000
l12_tm,-62.418981,-103.822874,-62.418981,-103.822874,0.000000,0.000000
l12_tpn,-62.489581,-103.960526,-62.489581,-103.960526,0.000000,0.000000
l16,0.000000,0.000000,0.000000,0.000000,-1142.067162,2097.803087
l16_tn,-56.174023,103.866167,-56.174023,103.866167,0.000000,0.000000
l16_tm,-56.174023,103.866167,-56.174023,103.866167,0.000000,0.000000
l16_tpn,-56.389065,104.206746,-56.389065,104.206746,0.000000,0.000000
l17,0.000000,0.000000,0.000000,0.000000,-1142.958294,2098.325597
l17_tn,-56.666853,104.375925,-56.666853,104.375925,0.000000,0.000000
l17_tm,-56.666853,104.375925,-56.666853,104.375925,0.000000,0.000000
l17_tpn,-56.766691,104.533483,-56.766691,104.533483,0.000000,0.000000
l19,2343.838807,-128.264138,0.000000,0.000000,0.000000,0.000000
l19_tn,115.885028,-6.661402,115.885028,-6.661402,0.000000,0.000000
l19_tm,115.885028,-6.661402,115.885028,-6.661402,0.000000,0.000000
l19_tpn,116.251146,-6.657747,116.251146,-6.657747,0.000000,0.000000
l20,2342.368878,-129.040842,0.000000,0.000000,0.000000,0.000000
l20_tn,115.771834,-6.699892,115.771834,-6.699892,0.000000,0.000000
l20_tm,115.771834,-6.699892,115.771834,-6.699892,0.000000,0.000000
l20_tpn,116.178405,-6.695990,116.178405,-6.695990,0.000000,0.000000
l22,0.000000,0.000000,-1261.748864,-2059.350909,0.000000,0.000000
l22_tn,-62.643065,-101.606189,-62.643065,-101.606189,0.000000,0.000000
l22_tm,-62.643065,-101.606189,-62.643065,-101.606189,0.000000,0.000000
l22_tpn,-62.849181,-101.997239,-62.849181,-101.997239,0.000000,0.000000
l24,0.000000,0.000000,0.000000,0.000000,-1124.139234,2082.736079
l24_tn,-55.316888,103.162481,-55.316888,103.162481,0.000000,0.000000
l24_tm,-55.316888,103.162481,-55.316888,103.162481,0.000000,0.000000
l24_tpn,-55.501205,103.456728,-55.501205,103.456728,0.000000,0.000000
l28,2343.483499,-133.795022,-1261.600395,-2064.291034,-1125.175793,2082.327138
