# Current_Dump_NR.csv run at 2013-08-28 12:00:00 PST on 804 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
substation_transformer,13.179976,-3.998810,-8.073538,-6.777227,-2.689889,11.016443
linobj12,0.000000,0.000000,-46.913652,-75.773393,0.000000,0.000000
linobj13,0.000000,0.000000,0.000000,0.000000,-49.530579,107.921431
linobj17,724.565738,-220.287653,-405.657032,-304.131226,-101.253996,509.616879
linobj34,0.000000,0.000000,0.000000,0.000000,-3.786434,14.264596
linobj35,0.000000,0.000000,0.000000,0.000000,-45.744145,93.656835
linobj56,0.000000,0.000000,0.000000,0.000000,-3.723781,14.224731
linobj78,717.478811,-218.268759,-405.657032,-304.131226,-101.253996,509.616879
linobj812,0.000000,0.000000,-5.318657,-5.250178,0.000000,0.000000
linobj89,35.885737,-10.526286,0.000000,0.000000,0.000000,0.000000
linobj813,681.593074,-207.742472,-400.338375,-298.881048,-101.253996,509.616879
linobj140114,21.420524,-6.295354,0.000000,0.000000,0.000000,0.000000
linobj1334,0.000000,0.000000,0.000000,0.000000,-8.925663,35.285479
linobj1318,233.873810,-63.744245,-162.045509,-89.895089,-18.480388,156.885315
linobj1411,14.242907,-4.180604,0.000000,0.000000,0.000000,0.000000
linobj1410,7.177617,-2.114750,0.000000,0.000000,0.000000,0.000000
linobj1516,0.000000,0.000000,0.000000,0.000000,-3.561445,14.082878
linobj1517,0.000000,0.000000,0.000000,0.000000,-1.790827,7.107619
linobj1819,27.231484,-8.594048,0.000000,0.000000,0.000000,0.000000
linobj1821,41.491032,-13.211399,-10.537249,-10.222230,-10.621407,42.725952
linobj1920,13.608555,-4.297662,0.000000,0.000000,0.000000,0.000000
linobj2122,0.000000,0.000000,-10.537249,-10.222230,0.000000,0.000000
linobj2123,41.491032,-13.211399,0.000000,0.000000,-10.621407,42.725952
linobj2324,0.000000,0.000000,0.000000,0.000000,-3.481147,13.975559
linobj2325,41.491032,-13.211399,0.000000,0.000000,-7.140260,28.750393
linobj260126,13.923729,-4.440302,0.000000,0.000000,-3.576199,14.432758
linobj2528,27.219210,-8.660089,0.000000,0.000000,-3.474657,13.956816
linobj2627,13.923729,-4.440302,0.000000,0.000000,0.000000,0.000000
linobj2631,0.000000,0.000000,0.000000,0.000000,-3.576199,14.432758
linobj2733,13.923729,-4.440302,0.000000,0.000000,0.000000,0.000000
linobj2829,13.611438,-4.332777,0.000000,0.000000,-3.474657,13.956816
linobj2930,0.000000,0.000000,0.000000,0.000000,-3.474657,13.956816
linobj30250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj3132,0.000000,0.000000,0.000000,0.000000,-1.787809,7.217274
linobj3415,0.000000,0.000000,0.000000,0.000000,-5.352271,21.190498
linobj3536,13.571131,-4.327607,-10.636484,-10.248289,0.000000,0.000000
linobj3540,108.193675,-55.184443,-97.485288,-51.851318,-7.858981,114.159363
linobj3637,13.571131,-4.327607,0.000000,0.000000,0.000000,0.000000
linobj3638,0.000000,0.000000,-10.636484,-10.248289,0.000000,0.000000
linobj3839,0.000000,0.000000,-5.319166,-5.124283,0.000000,0.000000
linobj4041,0.000000,0.000000,0.000000,0.000000,-1.736981,7.050573
linobj4042,108.193675,-55.184443,-97.485288,-51.851318,-6.121999,107.108790
linobj4243,0.000000,0.000000,-10.515557,-10.133144,0.000000,0.000000
linobj4244,101.364240,-52.987914,-86.969730,-41.718174,-6.121999,107.108790
linobj4445,13.627354,-4.400936,0.000000,0.000000,0.000000,0.000000
linobj4447,87.736886,-48.586978,-86.969730,-41.718174,-6.121999,107.108790
linobj4546,6.813023,-2.200856,0.000000,0.000000,0.000000,0.000000
linobj4748,27.002296,-21.893838,-33.008226,-13.838940,4.553168,34.876555
linobj4749,46.822801,-15.416297,-37.446843,-20.953096,-12.990414,54.474245
linobj4950,6.803978,-2.207397,0.000000,0.000000,-3.391185,13.932861
linobj5051,6.803978,-2.207397,0.000000,0.000000,0.000000,0.000000
linobj51151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj5253,434.116249,-139.727455,-238.292866,-208.985959,-73.847945,317.446085
linobj5354,420.588498,-135.411158,-238.292866,-208.985959,-73.847945,317.446085
linobj5455,6.794056,-2.197696,-5.354934,-5.144400,0.000000,0.000000
linobj5457,413.794442,-133.213462,-232.937932,-203.841560,-73.847945,317.446085
linobj5556,0.000000,0.000000,-5.354934,-5.144400,0.000000,0.000000
linobj5758,0.000000,0.000000,-10.708845,-10.201874,0.000000,0.000000
linobj5760,413.794442,-133.213462,-222.229088,-193.639686,-73.847945,317.446085
linobj5859,0.000000,0.000000,-5.355793,-5.101764,0.000000,0.000000
linobj6061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj6062,29.937313,-24.830551,-35.506404,-24.737444,-9.866422,65.775062
linobj6263,29.937313,-24.830551,-35.506404,-24.737444,-6.623593,51.939401
linobj6364,16.823373,-20.223659,-35.506404,-24.737444,-6.623593,51.939401
linobj6465,16.823373,-20.223659,-16.097369,-6.511557,-6.623593,51.939401
linobj6566,0.000000,0.000000,0.000000,0.000000,-5.897589,25.204185
linobj6768,39.993006,-14.527620,0.000000,0.000000,0.000000,0.000000
linobj6772,176.996505,-54.592097,-103.994571,-65.968783,-50.980905,196.103832
