# Current_Dump_NR.csv run at 2013-08-28 07:00:00 PST on 804 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
substation_transformer,8.968621,-2.387978,-6.082781,-5.008798,-1.932676,7.516255
linobj12,0.000000,0.000000,-43.427288,-72.474548,0.000000,0.000000
linobj13,0.000000,0.000000,0.000000,0.000000,-43.707635,85.051553
linobj17,497.429430,-132.431277,-297.549422,-208.298907,-64.630532,336.280015
linobj34,0.000000,0.000000,0.000000,0.000000,-1.416107,5.316396
linobj35,0.000000,0.000000,0.000000,0.000000,-42.291528,79.735157
linobj56,0.000000,0.000000,0.000000,0.000000,-1.395770,5.304332
linobj78,494.769200,-131.676652,-297.549422,-208.298907,-64.630532,336.280015
linobj812,0.000000,0.000000,-1.986603,-1.949516,0.000000,0.000000
linobj89,13.510864,-3.841565,0.000000,0.000000,0.000000,0.000000
linobj813,481.258336,-127.835087,-295.562819,-206.349390,-64.630532,336.280015
linobj140114,8.070355,-2.302870,0.000000,0.000000,0.000000,0.000000
linobj1334,0.000000,0.000000,0.000000,0.000000,-3.407583,13.223092
linobj1318,165.887311,-39.780726,-141.111103,-71.491157,-9.372683,117.034646
linobj1411,5.363275,-1.518482,0.000000,0.000000,0.000000,0.000000
linobj1410,2.707080,-0.784388,0.000000,0.000000,0.000000,0.000000
linobj1516,0.000000,0.000000,0.000000,0.000000,-1.365673,5.274649
linobj1517,0.000000,0.000000,0.000000,0.000000,-0.674568,2.672106
linobj1819,10.325753,-3.077768,0.000000,0.000000,0.000000,0.000000
linobj1821,15.742211,-4.708720,-3.899894,-3.819625,-4.074763,16.072922
linobj1920,5.161875,-1.538990,0.000000,0.000000,0.000000,0.000000
linobj2122,0.000000,0.000000,-3.899894,-3.819625,0.000000,0.000000
linobj2123,15.742211,-4.708720,0.000000,0.000000,-4.074763,16.072922
linobj2324,0.000000,0.000000,0.000000,0.000000,-1.342463,5.247584
linobj2325,15.742211,-4.708720,0.000000,0.000000,-2.732300,10.825338
linobj260126,5.285904,-1.582041,0.000000,0.000000,-1.356851,5.444263
linobj2528,10.324159,-3.087128,0.000000,0.000000,-1.341527,5.244968
linobj2627,5.285904,-1.582041,0.000000,0.000000,0.000000,0.000000
linobj2631,0.000000,0.000000,0.000000,0.000000,-1.356851,5.444263
linobj2733,5.285904,-1.582041,0.000000,0.000000,0.000000,0.000000
linobj2829,5.162340,-1.543941,0.000000,0.000000,-1.341527,5.244968
linobj2930,0.000000,0.000000,0.000000,0.000000,-1.341527,5.244968
linobj30250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj3132,0.000000,0.000000,0.000000,0.000000,-0.678386,2.722250
linobj3415,0.000000,0.000000,0.000000,0.000000,-2.040241,7.946755
linobj3536,5.149782,-1.548536,-3.963790,-3.822355,0.000000,0.000000
linobj3540,91.967499,-48.157485,-90.545352,-46.137395,-5.297920,100.961724
linobj3637,5.149782,-1.548536,0.000000,0.000000,0.000000,0.000000
linobj3638,0.000000,0.000000,-3.963790,-3.822355,0.000000,0.000000
linobj3839,0.000000,0.000000,-1.982015,-1.911192,0.000000,0.000000
linobj4041,0.000000,0.000000,0.000000,0.000000,-0.656129,2.655533
linobj4042,91.967499,-48.157485,-90.545352,-46.137395,-4.641792,98.306191
linobj4243,0.000000,0.000000,-3.891066,-3.789797,0.000000,0.000000
linobj4244,89.373977,-47.356434,-86.654287,-42.347598,-4.641792,98.306191
linobj4445,5.179313,-1.604073,0.000000,0.000000,0.000000,0.000000
linobj4447,84.194665,-45.752361,-86.654287,-42.347598,-4.641792,98.306191
linobj4546,2.589559,-0.802089,0.000000,0.000000,0.000000,0.000000
linobj4748,27.909940,-21.740657,-32.951120,-14.102580,4.315290,35.369986
linobj4749,42.155404,-13.008644,-37.240186,-21.196921,-11.122887,45.159369
linobj4950,2.585503,-0.804022,0.000000,0.000000,-1.307042,5.229853
linobj5051,2.585503,-0.804022,0.000000,0.000000,0.000000,0.000000
linobj51151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj5253,310.215630,-86.517829,-154.451716,-134.858233,-51.850266,206.022277
linobj5354,305.079911,-84.968028,-154.451716,-134.858233,-51.850266,206.022277
linobj5455,2.585773,-0.803737,-1.995272,-1.924855,0.000000,0.000000
linobj5457,302.494138,-84.164291,-152.456445,-132.933378,-51.850266,206.022277
linobj5556,0.000000,0.000000,-1.995272,-1.924855,0.000000,0.000000
linobj5758,0.000000,0.000000,-3.991546,-3.830577,0.000000,0.000000
linobj5760,302.494138,-84.164291,-148.464899,-129.102800,-51.850266,206.022277
linobj5859,0.000000,0.000000,-1.995953,-1.915399,0.000000,0.000000
linobj6061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj6062,22.628166,-21.938478,-23.449523,-13.796782,-5.016575,41.885335
linobj6263,22.628166,-21.938478,-23.449523,-13.796782,-3.726468,36.679077
linobj6364,17.604735,-20.305075,-23.449523,-13.796782,-3.726468,36.679077
linobj6465,17.604735,-20.305075,-16.267206,-6.851724,-3.726468,36.679077
linobj6566,0.000000,0.000000,0.000000,0.000000,-2.388939,9.522277
linobj6768,15.398488,-5.162890,0.000000,0.000000,0.000000,0.000000
linobj6772,142.829288,-38.342559,-66.083025,-32.277645,-41.097670,141.479859
linobj6797,112.337145,-16.379316,-55.883194,-80.216032,-4.593737,18.653743
linobj6869,12.813869,-4.285654,0.000000,0.000000,0.000000,0.000000
linobj6970,7.696276,-2.582058,0.000000,0.000000,0.000000,0.000000
linobj7071,5.114370,-1.704321,0.000000,0.000000,0.000000,0.000000
linobj7273,0.000000,0.000000,0.000000,0.000000,-3.883788,15.928950
linobj7276,142.829288,-38.342559,-66.083025,-32.277645,-37.213882,125.550909
linobj7374,0.000000,0.000000,0.000000,0.000000,-2.587589,10.618214
linobj7475,0.000000,0.000000,0.000000,0.000000,-1.293586,5.309748
linobj7677,10.215085,-3.447612,-8.041648,-7.698462,-2.547927,10.674388
linobj7686,93.823847,-10.307268,-14.137726,-13.519069,-39.779250,79.228729
linobj7778,10.215085,-3.447612,-4.020661,-3.848916,-2.547927,10.674388
linobj7879,5.107223,-1.722847,0.000000,0.000000,0.000000,0.000000
linobj7880,5.107862,-1.724765,-4.020661,-3.848916,-2.547927,10.674388
linobj8081,5.107862,-1.724765,0.000000,0.000000,-2.547927,10.674388
linobj8182,5.107862,-1.724765,0.000000,0.000000,-0.633788,2.687108
linobj8184,0.000000,0.000000,0.000000,0.000000,-1.914139,7.987280
linobj8283,0.000000,0.000000,0.000000,0.000000,-0.633788,2.687108
linobj8485,0.000000,0.000000,0.000000,0.000000,-1.281814,5.301793
linobj8687,93.823847,-10.307268,-12.095368,-11.583008,-39.779250,79.228729
linobj8788,88.723535,-8.546458,0.000000,0.000000,0.000000,0.000000
linobj8789,5.100312,-1.760810,-8.083062,-7.727398,-39.779250,79.228729
linobj8990,0.000000,0.000000,-4.008169,-3.854406,0.000000,0.000000
linobj8991,5.100312,-1.760810,-4.074893,-3.872992,-39.779250,79.228729
linobj9192,0.000000,0.000000,0.000000,0.000000,-39.779250,79.228729
linobj9193,5.100312,-1.760810,-4.074893,-3.872992,0.000000,0.000000
linobj9394,5.100312,-1.760810,0.000000,0.000000,0.000000,0.000000
linobj9395,0.000000,0.000000,-4.074893,-3.872992,0.000000,0.000000
linobj9596,0.000000,0.000000,-2.037511,-1.936493,0.000000,0.000000
linobj9798,5.114431,-1.709226,-4.033291,-3.845098,-1.313724,5.323045
linobj9899,0.000000,0.000000,-4.033291,-3.845098,-1.313724,5.323045
linobj99100,0.000000,0.000000,0.000000,0.000000,-1.313724,5.323045
linobj100450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj101102,0.000000,0.000000,0.000000,0.000000,-3.280012,13.330699
linobj101105,107.222714,-14.670090,-51.849903,-76.370934,0.000000,0.000000
linobj102103,0.000000,0.000000,0.000000,0.000000,-2.630001,10.635750
linobj103104,0.000000,0.000000,0.000000,0.000000,-1.314089,5.317329
linobj105106,0.000000,0.000000,-51.849903,-76.370934,0.000000,0.000000
linobj105108,107.222714,-14.670090,0.000000,0.000000,0.000000,0.000000
linobj106107,0.000000,0.000000,-47.803001,-72.556123,0.000000,0.000000
linobj108109,107.222714,-14.670090,0.000000,0.000000,0.000000,0.000000
linobj108300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj109110,102.180127,-12.921849,0.000000,0.000000,0.000000,0.000000
linobj110111,2.532629,-0.904978,0.000000,0.000000,0.000000,0.000000
linobj110112,99.647498,-12.016871,0.000000,0.000000,0.000000,0.000000
linobj112113,97.118664,-11.109871,0.000000,0.000000,0.000000,0.000000
linobj113114,92.142867,-9.329407,0.000000,0.000000,0.000000,0.000000
linobj13535,139.819348,-31.994238,-137.211210,-67.671532,-5.297920,100.961724
linobj1491,502.745488,-133.860606,-340.976710,-280.773455,-108.338167,421.331568
linobj15252,315.371025,-88.054361,-154.451716,-134.858233,-51.850266,206.022277
linobj670167,270.564921,-59.884765,-121.966220,-112.493677,-45.691406,160.133603
linobj197101,107.222714,-14.670090,-51.849903,-76.370934,-3.280012,13.330699
triplex_l1,5.316057,-1.429329,0.000000,0.000000,0.000000,0.000000
l1_tpn_tm,52.790083,-13.809035,-52.790083,13.809035,0.000000,0.000000
triplex_l2,0.000000,0.000000,-1.983174,-1.961417,0.000000,0.000000
l2_tpn_tm,-19.211379,-19.519613,19.211379,19.519613,0.000000,0.000000
triplex_l4,0.000000,0.000000,0.000000,0.000000,-1.416107,5.316396
l4_tpn_tm,-14.395447,52.601364,14.395447,-52.601364,0.000000,0.000000
triplex_l5,0.000000,0.000000,0.000000,0.000000,-0.689727,2.687147
l5_tpn_tm,-7.127236,26.291300,7.127236,-26.291300,0.000000,0.000000
triplex_l6,0.000000,0.000000,0.000000,0.000000,-1.395770,5.304332
l6_tpn_tm,-14.193034,52.483201,14.193034,-52.483201,0.000000,0.000000
triplex_l7,2.660230,-0.754625,0.000000,0.000000,0.000000,0.000000
l7_tpn_tm,26.218076,-7.057036,-26.218076,7.057036,0.000000,0.000000
triplex_l9,5.238751,-1.481123,0.000000,0.000000,0.000000,0.000000
l9_tpn_tm,52.027455,-14.327810,-52.027455,14.327810,0.000000,0.000000
triplex_l10,2.707080,-0.784388,0.000000,0.000000,0.000000,0.000000
l10_tpn_tm,26.681870,-7.342908,-26.681870,7.342908,0.000000,0.000000
triplex_l11,5.363275,-1.518482,0.000000,0.000000,0.000000,0.000000
l11_tpn_tm,53.264082,-14.689489,-53.264082,14.689489,0.000000,0.000000
triplex_l12,0.000000,0.000000,-1.986603,-1.949516,0.000000,0.000000
l12_tpn_tm,-19.246748,-19.403255,19.246748,19.403255,0.000000,0.000000
triplex_l16,0.000000,0.000000,0.000000,0.000000,-1.365673,5.274649
l16_tpn_tm,-13.892666,52.191095,13.892666,-52.191095,0.000000,0.000000
triplex_l17,0.000000,0.000000,0.000000,0.000000,-0.674568,2.672106
l17_tpn_tm,-6.976367,26.145750,6.976367,-26.145750,0.000000,0.000000
triplex_l19,5.163878,-1.538778,0.000000,0.000000,0.000000,0.000000
l19_tpn_tm,51.289205,-14.904378,-51.289205,14.904378,0.000000,0.000000
triplex_l20,5.161875,-1.538990,0.000000,0.000000,0.000000,0.000000
l20_tpn_tm,51.269309,-14.906565,-51.269309,14.906565,0.000000,0.000000
triplex_l22,0.000000,0.000000,-3.899894,-3.819625,0.000000,0.000000
l22_tpn_tm,-38.398625,-38.123891,38.398625,38.123891,0.000000,0.000000
triplex_l24,0.000000,0.000000,0.000000,0.000000,-1.342463,5.247584
l24_tpn_tm,-13.660727,51.924549,13.660727,-51.924549,0.000000,0.000000
triplex_l28,5.161819,-1.543187,0.000000,0.000000,0.000000,0.000000
l28_tpn_tm,51.269038,-14.948166,-51.269038,14.948166,0.000000,0.000000
triplex_l29,5.162340,-1.543941,0.000000,0.000000,0.000000,0.000000
l29_tpn_tm,51.274325,-14.955672,-51.274325,14.955672,0.000000,0.000000
triplex_l30,0.000000,0.000000,0.000000,0.000000,-1.341527,5.244968
l30_tpn_tm,-13.651326,51.898509,13.651326,-51.898509,0.000000,0.000000
triplex_l31,0.000000,0.000000,0.000000,0.000000,-0.678465,2.722013
l31_tpn_tm,-7.021329,26.634946,7.021329,-26.634946,0.000000,0.000000
triplex_l32,0.000000,0.000000,0.000000,0.000000,-0.678386,2.722250
l32_tpn_tm,-7.020555,26.637392,7.020555,-26.637392,0.000000,0.000000
triplex_l33,5.285904,-1.582041,0.000000,0.000000,0.000000,0.000000
l33_tpn_tm,52.501431,-15.324698,-52.501431,15.324698,0.000000,0.000000
triplex_l34,0.000000,0.000000,0.000000,0.000000,-1.367342,5.276337
l34_tpn_tm,-13.909328,52.207717,13.909328,-52.207717,0.000000,0.000000
triplex_l37,5.149782,-1.548536,0.000000,0.000000,0.000000,0.000000
l37_tpn_tm,51.150133,-15.002057,-51.150133,15.002057,0.000000,0.000000
triplex_l38,0.000000,0.000000,-1.981776,-1.911162,0.000000,0.000000
l38_tpn_tm,-19.204417,-19.026040,19.204417,19.026040,0.000000,0.000000
triplex_l39,0.000000,0.000000,-1.982015,-1.911192,0.000000,0.000000
l39_tpn_tm,-19.206872,-19.026395,19.206872,19.026395,0.000000,0.000000
triplex_l41,0.000000,0.000000,0.000000,0.000000,-0.656129,2.655533
l41_tpn_tm,-6.793097,25.985594,6.793097,-25.985594,0.000000,0.000000
triplex_l42,2.593522,-0.801051,0.000000,0.000000,0.000000,0.000000
l42_tpn_tm,25.569529,-7.521979,-25.569529,7.521979,0.000000,0.000000
triplex_l43,0.000000,0.000000,-3.891066,-3.789797,0.000000,0.000000
l43_tpn_tm,-38.313131,-37.827631,38.313131,37.827631,0.000000,0.000000
triplex_l45,2.589754,-0.801984,0.000000,0.000000,0.000000,0.000000
l45_tpn_tm,25.532599,-7.531574,-25.532599,7.531574,0.000000,0.000000
triplex_l46,2.589559,-0.802089,0.000000,0.000000,0.000000,0.000000
l46_tpn_tm,25.530721,-7.532649,-25.530721,7.532649,0.000000,0.000000
triplex_l50,0.000000,0.000000,0.000000,0.000000,-1.307042,5.229853
l50_tpn_tm,-13.308437,51.751136,13.308437,-51.751136,0.000000,0.000000
triplex_l51,2.585503,-0.804022,0.000000,0.000000,0.000000,0.000000
l51_tpn_tm,25.491154,-7.552168,-25.491154,7.552168,0.000000,0.000000
triplex_l52,5.155395,-1.536532,0.000000,0.000000,0.000000,0.000000
l52_tpn_tm,51.204928,-14.882656,-51.204928,14.882656,0.000000,0.000000
triplex_l53,5.135719,-1.549800,0.000000,0.000000,0.000000,0.000000
l53_tpn_tm,51.010844,-15.015557,-51.010844,15.015557,0.000000,0.000000
triplex_l55,2.585773,-0.803737,0.000000,0.000000,0.000000,0.000000
l55_tpn_tm,25.493748,-7.549308,-25.493748,7.549308,0.000000,0.000000
triplex_l56,0.000000,0.000000,-1.995272,-1.924855,0.000000,0.000000
