# Volt_Dump_NR.csv run at 2013-08-28 07:00:00 PST on 804 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node650,138000.000000,0.000000,-69000.000000,-119497.000000,-69000.000000,119497.000000
n3,0.000000,0.000000,0.000000,0.000000,-1198.951915,2124.457054
n8,2412.742199,-52.899013,-1244.393080,-2098.567494,-1186.321992,2117.726741
n13,2397.056139,-70.319885,-1248.079445,-2089.542721,-1173.583685,2112.376679
n14,2470.936889,-55.422028,0.000000,0.000000,0.000000,0.000000
n1401,2472.050179,-54.793386,0.000000,0.000000,0.000000,0.000000
n15,0.000000,0.000000,0.000000,0.000000,-1172.694836,2111.859650
n18,2386.774681,-86.012171,-1249.110694,-2073.518346,-1161.117131,2103.375221
n21,2386.521207,-86.735314,-1249.109288,-2073.576673,-1160.347587,2102.909295
n23,2386.357422,-87.444738,-1249.004714,-2073.903220,-1159.666961,2102.423252
n25,2386.027172,-88.218806,-1249.003556,-2074.246141,-1159.244910,2101.938281
n26,2445.557198,-90.774801,0.000000,0.000000,-1187.894301,2154.297210
n2601,2445.677851,-90.424276,-1280.228645,-2126.102295,-1188.226032,2154.486738
n27,2445.342402,-91.033896,0.000000,0.000000,-1187.968275,2154.203881
n36,2381.491684,-91.944064,-1248.923533,-2065.316379,0.000000,0.000000
n40,2379.094243,-93.404678,-1248.524269,-2062.803402,-1153.091945,2101.560968
n44,2373.726549,-96.629978,-1248.602101,-2057.505136,-1147.151007,2099.567331
n54,2370.550078,-99.132327,-1257.167872,-2079.765288,-1155.845054,2104.150880
n57,2359.842545,-113.373361,-1259.881403,-2072.106448,-1148.303070,2100.211644
n61,2337.020261,-144.191629,-1265.368948,-2056.554846,-1131.957123,2091.401126
n67,2387.128097,-161.194363,-1300.519686,-2102.605260,-1154.386584,2138.132429
n6701,2395.445767,-147.796419,-1297.003172,-2107.968717,-1160.256051,2143.686154
n72,2384.909373,-166.870481,-1298.637156,-2100.757962,-1147.992083,2136.090437
n78,2382.619696,-171.531082,-1297.783997,-2098.741192,-1143.354818,2134.473571
n81,2382.821885,-172.257000,-1297.360285,-2098.611545,-1141.516333,2133.853181
n89,2381.873643,-188.659153,-1291.991152,-2100.373002,-1121.905673,2129.015114
n91,2383.614573,-188.443059,-1290.450849,-2099.999355,-1117.689802,2129.218792
n93,2383.397357,-188.550859,-1290.608741,-2099.810393,-1117.803823,2129.221100
n97,2383.200149,-164.947516,-1304.041476,-2099.971995,-1156.021100,2137.737161
n101,2379.394314,-168.568080,-1307.522197,-2097.539012,-1157.814721,2137.359907
n105,2374.886755,-172.513369,-1311.725952,-2094.840158,-1160.595179,2137.089847
n108,2370.879335,-179.126040,-1313.086535,-2097.242116,-1162.020561,2134.436458
n110,2348.339330,-196.618597,0.000000,0.000000,0.000000,0.000000
n135,2386.774681,-86.012171,-1249.110694,-2073.518346,-1161.117131,2103.375221
n149,2461.497076,-0.748315,-1231.266772,-2131.147272,-1230.232346,2131.811192
n1491,2461.497076,-0.748315,-1231.266772,-2131.147272,-1230.232346,2131.811192
n150,2401.460562,-0.730063,-1201.235875,-2079.168071,-1200.226679,2079.815797
n151,2370.117516,-99.496505,-1248.078809,-2053.173586,-1141.736473,2098.333989
n152,2397.056139,-70.319885,-1248.079445,-2089.542721,-1173.583685,2112.376679
n160,2337.020261,-144.191629,-1265.368948,-2056.554846,-1131.957123,2091.401126
n195,2383.348185,-188.427960,-1290.736274,-2099.462248,-1117.860468,2129.353959
n197,2383.200149,-164.947516,-1304.041476,-2099.971995,-1156.021100,2137.737161
n250,2385.957035,-88.872760,-1248.846610,-2074.554059,-1158.445223,2101.467228
n251,2385.957035,-88.872760,-1248.846610,-2074.554059,-1158.445223,2101.467228
n300,2370.879335,-179.126040,-1313.086535,-2097.242116,-1162.020561,2134.436458
n350,2370.879335,-179.126040,-1313.086535,-2097.242116,-1162.020561,2134.436458
n450,2383.372590,-164.915964,-1303.863325,-2099.143032,-1154.984600,2137.812393
n451,2383.372590,-164.915964,-1303.863325,-2099.143032,-1154.984600,2137.812393
n610,271.975638,-12.431905,-143.684655,-233.089200,-128.290983,245.521105
n611,2337.020261,-144.191629,-1265.368948,-2056.554846,-1131.957123,2091.401126
l1,2440.041880,-22.631215,-1237.716299,-2113.237838,-1207.127902,2127.022914
l1_tn,121.450526,-1.249288,121.450526,-1.249288,0.000000,0.000000
l1_tm,121.450526,-1.249288,121.450526,-1.249288,0.000000,0.000000
l1_tpn,121.587947,-1.241430,121.587947,-1.241430,0.000000,0.000000
l2,0.000000,0.000000,-1239.038619,-2108.105542,0.000000,0.000000
l2_tn,-61.837771,-105.088125,-61.837771,-105.088125,0.000000,0.000000
l2_tm,-61.837771,-105.088125,-61.837771,-105.088125,0.000000,0.000000
l2_tpn,-61.872586,-105.157614,-61.872586,-105.157614,0.000000,0.000000
l4,0.000000,0.000000,0.000000,0.000000,-1198.609331,2124.261597
l4_tn,-59.543767,105.779882,-59.543767,105.779882,0.000000,0.000000
l4_tm,-59.543767,105.779882,-59.543767,105.779882,0.000000,0.000000
l4_tpn,-59.628595,105.909327,-59.628595,105.909327,0.000000,0.000000
l5,0.000000,0.000000,0.000000,0.000000,-1188.879830,2121.439055
l5_tn,-59.228168,105.813730,-59.228168,105.813730,0.000000,0.000000
l5_tm,-59.228168,105.813730,-59.228168,105.813730,0.000000,0.000000
l5_tpn,-59.271094,105.879579,-59.271094,105.879579,0.000000,0.000000
l6,0.000000,0.000000,0.000000,0.000000,-1188.453650,2121.194195
l6_tn,-59.039043,105.627555,-59.039043,105.627555,0.000000,0.000000
l6_tm,-59.039043,105.627555,-59.039043,105.627555,0.000000,0.000000
l6_tpn,-59.122654,105.755987,-59.122654,105.755987,0.000000,0.000000
l7,2423.615919,-40.849225,-1241.740401,-2104.463289,-1194.660237,2121.424569
l7_tn,120.839742,-2.099247,120.839742,-2.099247,0.000000,0.000000
l7_tm,120.839742,-2.099247,120.839742,-2.099247,0.000000,0.000000
l7_tpn,120.928357,-2.094809,120.928357,-2.094809,0.000000,0.000000
l9,2411.756272,-53.456962,0.000000,0.000000,0.000000,0.000000
l9_tn,120.057910,-2.781490,120.057910,-2.781490,0.000000,0.000000
l9_tm,120.057910,-2.781490,120.057910,-2.781490,0.000000,0.000000
l9_tpn,120.176905,-2.776222,120.176905,-2.776222,0.000000,0.000000
l10,2470.716460,-55.545318,0.000000,0.000000,0.000000,0.000000
l10_tn,123.197368,-2.832767,123.197368,-2.832767,0.000000,0.000000
l10_tm,123.197368,-2.832767,123.197368,-2.832767,0.000000,0.000000
l10_tpn,123.278202,-2.829174,123.278202,-2.829174,0.000000,0.000000
l11,2470.502441,-55.668527,0.000000,0.000000,0.000000,0.000000
l11_tn,122.980372,-2.894554,122.980372,-2.894554,0.000000,0.000000
l11_tm,122.980372,-2.894554,122.980372,-2.894554,0.000000,0.000000
l11_tpn,123.104319,-2.889112,123.104319,-2.889112,0.000000,0.000000
l12,0.000000,0.000000,-1244.392447,-2098.343012,0.000000,0.000000
l12_tn,-62.113790,-104.619543,-62.113790,-104.619543,0.000000,0.000000
l12_tm,-62.113790,-104.619543,-62.113790,-104.619543,0.000000,0.000000
l12_tpn,-62.139489,-104.670340,-62.139489,-104.670340,0.000000,0.000000
l16,0.000000,0.000000,0.000000,0.000000,-1172.061248,2111.492283
l16_tn,-58.224791,105.145562,-58.224791,105.145562,0.000000,0.000000
l16_tm,-58.224791,105.145562,-58.224791,105.145562,0.000000,0.000000
l16_tpn,-58.306224,105.271738,-58.306224,105.271738,0.000000,0.000000
l17,0.000000,0.000000,0.000000,0.000000,-1172.396784,2111.684409
l17_tn,-58.411242,105.334252,-58.411242,105.334252,0.000000,0.000000
l17_tm,-58.411242,105.334252,-58.411242,105.334252,0.000000,0.000000
l17_tpn,-58.448853,105.392452,-58.448853,105.392452,0.000000,0.000000
l19,2385.928412,-86.477039,0.000000,0.000000,0.000000,0.000000
l19_tn,118.751109,-4.424572,118.751109,-4.424572,0.000000,0.000000
l19_tm,118.751109,-4.424572,118.751109,-4.424572,0.000000,0.000000
l19_tpn,118.888330,-4.420431,118.888330,-4.420431,0.000000,0.000000
l20,2385.378410,-86.779111,0.000000,0.000000,0.000000,0.000000
l20_tn,118.708475,-4.440023,118.708475,-4.440023,0.000000,0.000000
l20_tm,118.708475,-4.440023,118.708475,-4.440023,0.000000,0.000000
l20_tpn,118.860946,-4.435444,118.860946,-4.435444,0.000000,0.000000
l22,0.000000,0.000000,-1249.105388,-2072.549409,0.000000,0.000000
l22_tn,-62.265506,-103.073190,-62.265506,-103.073190,0.000000,0.000000
l22_tm,-62.265506,-103.073190,-62.265506,-103.073190,0.000000,0.000000
l22_tpn,-62.340374,-103.218406,-62.340374,-103.218406,0.000000,0.000000
l24,0.000000,0.000000,0.000000,0.000000,-1158.744710,2101.884939
l24_tn,-57.572959,104.683058,-57.572959,104.683058,0.000000,0.000000
l24_tm,-57.572959,104.683058,-57.572959,104.683058,0.000000,0.000000
l24_tpn,-57.643026,104.792317,-57.643026,104.792317,0.000000,0.000000
l28,2385.831257,-88.585942,-1249.032114,-2074.405180,-1159.127125,2101.720712
l28_tn,118.730921,-4.529965,118.730921,-4.529965,0.000000,0.000000
l28_tm,118.730921,-4.529965,118.730921,-4.529965,0.000000,0.000000
l28_tpn,118.883429,-4.525500,118.883429,-4.525500,0.000000,0.000000
l29,2385.766114,-88.864738,-1248.991464,-2074.533341,-1158.860727,2101.530440
l29_tn,118.746467,-4.543308,118.746467,-4.543308,0.000000,0.000000
l29_tm,118.746467,-4.543308,118.746467,-4.543308,0.000000,0.000000
l29_tpn,118.880121,-4.539408,118.880121,-4.539408,0.000000,0.000000
l30,2385.957035,-88.872760,-1248.846610,-2074.554059,-1158.445223,2101.467228
l30_tn,-57.537971,104.630834,-57.537971,104.630834,0.000000,0.000000
l30_tm,-57.537971,104.630834,-57.537971,104.630834,0.000000,0.000000
l30_tpn,-57.628202,104.771549,-57.628202,104.771549,0.000000,0.000000
l31,0.000000,0.000000,0.000000,0.000000,-1187.504911,2154.066675
l31_tn,-59.155552,107.435592,-59.155552,107.435592,0.000000,0.000000
l31_tm,-59.155552,107.435592,-59.155552,107.435592,0.000000,0.000000
l31_tpn,-59.201763,107.507573,-59.201763,107.507573,0.000000,0.000000
l32,0.000000,0.000000,0.000000,0.000000,-1187.245312,2153.912973
l32_tn,-59.154948,107.447160,-59.154948,107.447160,0.000000,0.000000
l32_tm,-59.154948,107.447160,-59.154948,107.447160,0.000000,0.000000
l32_tpn,-59.188788,107.499878,-59.188788,107.499878,0.000000,0.000000
l33,2444.475139,-91.509024,0.000000,0.000000,0.000000,0.000000
l33_tn,121.653172,-4.678267,121.653172,-4.678267,0.000000,0.000000
l33_tm,121.653172,-4.678267,121.653172,-4.678267,0.000000,0.000000
l33_tpn,121.805704,-4.673847,121.805704,-4.673847,0.000000,0.000000
l34,0.000000,0.000000,0.000000,0.000000,-1172.948950,2112.007683
l34_tn,-58.270060,105.172989,-58.270060,105.172989,0.000000,0.000000
l34_tm,-58.270060,105.172989,-58.270060,105.172989,0.000000,0.000000
l34_tpn,-58.350431,105.297459,-58.350431,105.297459,0.000000,0.000000
l35,2382.093511,-91.607898,-1248.476852,-2065.838468,-1156.505006,2102.664610
l37,2380.984173,-92.221253,0.000000,0.000000,0.000000,0.000000
l37_tn,118.498622,-4.710398,118.498622,-4.710398,0.000000,0.000000
l37_tm,118.498622,-4.710398,118.498622,-4.710398,0.000000,0.000000
l37_tpn,118.641689,-4.706437,118.641689,-4.706437,0.000000,0.000000
l38,0.000000,0.000000,-1248.917828,-2064.822958,0.000000,0.000000
l38_tn,-62.325361,-102.921991,-62.325361,-102.921991,0.000000,0.000000
l38_tm,-62.325361,-102.921991,-62.325361,-102.921991,0.000000,0.000000
l38_tpn,-62.364504,-102.997714,-62.364504,-102.997714,0.000000,0.000000
l39,0.000000,0.000000,-1248.914111,-2064.502224,0.000000,0.000000
l39_tn,-62.335834,-102.926606,-62.335834,-102.926606,0.000000,0.000000
l39_tm,-62.335834,-102.926606,-62.335834,-102.926606,0.000000,0.000000
l39_tpn,-62.364306,-102.981679,-62.364306,-102.981679,0.000000,0.000000
l41,0.000000,0.000000,0.000000,0.000000,-1152.818066,2101.398071
l41_tn,-57.437890,104.825094,-57.437890,104.825094,0.000000,0.000000
l41_tm,-57.437890,104.825094,-57.437890,104.825094,0.000000,0.000000
l41_tpn,-57.472164,104.878724,-57.472164,104.878724,0.000000,0.000000
l42,2376.041806,-95.194119,-1248.629862,-2059.761630,-1149.827139,2100.482261
l42_tn,118.497720,-4.806830,118.497720,-4.806830,0.000000,0.000000
l42_tm,118.497720,-4.806830,118.497720,-4.806830,0.000000,0.000000
l42_tpn,118.553218,-4.805339,118.553218,-4.805339,0.000000,0.000000
l43,0.000000,0.000000,-1248.623454,-2058.788165,0.000000,0.000000
l43_tn,-62.234893,-102.376998,-62.234893,-102.376998,0.000000,0.000000
l43_tm,-62.234893,-102.376998,-62.234893,-102.376998,0.000000,0.000000
l43_tpn,-62.315715,-102.532698,-62.315715,-102.532698,0.000000,0.000000
l45,2373.383888,-96.813481,0.000000,0.000000,0.000000,0.000000
l45_tn,118.345063,-4.888042,118.345063,-4.888042,0.000000,0.000000
l45_tm,118.345063,-4.888042,118.345063,-4.888042,0.000000,0.000000
l45_tpn,118.420582,-4.886068,118.420582,-4.886068,0.000000,0.000000
l46,2373.126895,-96.951096,0.000000,0.000000,0.000000,0.000000
l46_tn,118.338590,-4.894735,118.338590,-4.894735,0.000000,0.000000
l46_tm,118.338590,-4.894735,118.338590,-4.894735,0.000000,0.000000
l46_tpn,118.407748,-4.892932,118.407748,-4.892932,0.000000,0.000000
l47,2371.026564,-98.195178,-1248.491051,-2054.573334,-1143.738966,2098.506410
l48,2370.348999,-98.496178,-1248.376141,-2053.861699,-1143.126256,2098.236177
l49,2370.206776,-99.256684,-1248.141746,-2053.074320,-1141.964854,2098.463136
l50,2370.214556,-99.383687,-1248.043337,-2053.127738,-1141.703029,2098.375270
l50_tn,-56.713138,104.488980,-56.713138,104.488980,0.000000,0.000000
l50_tm,-56.713138,104.488980,-56.713138,104.488980,0.000000,0.000000
l50_tpn,-56.794015,104.616649,-56.794015,104.616649,0.000000,0.000000
l51,2370.117516,-99.496505,-1248.078809,-2053.173586,-1141.736473,2098.333989
l51_tn,118.185915,-5.021654,118.185915,-5.021654,0.000000,0.000000
l51_tm,118.185915,-5.021654,118.185915,-5.021654,0.000000,0.000000
l51_tpn,118.257531,-5.019867,118.257531,-5.019867,0.000000,0.000000
l52,2382.243228,-86.444328,-1253.167849,-2084.258467,-1163.861901,2107.756206
l52_tn,118.553466,-4.423175,118.553466,-4.423175,0.000000,0.000000
l52_tm,118.553466,-4.423175,118.553466,-4.423175,0.000000,0.000000
l52_tpn,118.704722,-4.418619,118.704722,-4.418619,0.000000,0.000000
l53,2374.988868,-94.322657,-1255.652398,-2081.527449,-1158.948632,2105.512208
l53_tn,118.199597,-4.814701,118.199597,-4.814701,0.000000,0.000000
l53_tm,118.199597,-4.814701,118.199597,-4.814701,0.000000,0.000000
l53_tpn,118.342827,-4.810876,118.342827,-4.810876,0.000000,0.000000
l55,2370.409239,-99.190591,-1257.266467,-2079.670616,-1155.907891,2104.165330
l55_tn,118.193879,-5.006569,118.193879,-5.006569,0.000000,0.000000
l55_tm,118.193879,-5.006569,118.193879,-5.006569,0.000000,0.000000
l55_tpn,118.272102,-5.004607,118.272102,-5.004607,0.000000,0.000000
l56,2370.375151,-99.122822,-1257.323058,-2079.514908,-1155.933944,2104.225197
l56_tn,-62.751045,-103.666354,-62.751045,-103.666354,0.000000,0.000000
l56_tm,-62.751045,-103.666354,-62.751045,-103.666354,0.000000,0.000000
l56_tpn,-62.784238,-103.730595,-62.784238,-103.730595,0.000000,0.000000
l58,0.000000,0.000000,-1259.874475,-2071.610740,0.000000,0.000000
l58_tn,-62.869580,-103.255813,-62.869580,-103.255813,0.000000,0.000000
l58_tm,-62.869580,-103.255813,-62.869580,-103.255813,0.000000,0.000000
l58_tpn,-62.911362,-103.336165,-62.911362,-103.336165,0.000000,0.000000
l59,0.000000,0.000000,-1259.871007,-2071.362868,0.000000,0.000000
l59_tn,-62.883276,-103.270104,-62.883276,-103.270104,0.000000,0.000000
l59_tm,-62.883276,-103.270104,-62.883276,-103.270104,0.000000,0.000000
l59_tpn,-62.911177,-103.323756,-62.911177,-103.323756,0.000000,0.000000
l60,2337.020261,-144.191629,-1265.368948,-2056.554846,-1131.957123,2091.401126
l60_tn,116.550814,-7.249518,116.550814,-7.249518,0.000000,0.000000
l60_tm,116.550814,-7.249518,116.550814,-7.249518,0.000000,0.000000
l60_tpn,116.604996,-7.249231,116.604996,-7.249231,0.000000,0.000000
l62,2335.619131,-143.270258,-1264.303044,-2055.596552,-1131.260600,2089.234709
l62_tn,-56.215435,104.067773,-56.215435,104.067773,0.000000,0.000000
l62_tm,-56.215435,104.067773,-56.215435,104.067773,0.000000,0.000000
l62_tpn,-56.273973,104.160588,-56.273973,104.160588,0.000000,0.000000
l63,2334.640788,-142.624165,-1263.553402,-2054.922697,-1130.854750,2087.902440
l63_tn,116.224744,-7.216522,116.224744,-7.216522,0.000000,0.000000
l63_tm,116.224744,-7.216522,116.224744,-7.216522,0.000000,0.000000
l63_tpn,116.329808,-7.215955,116.329808,-7.215955,0.000000,0.000000
l64,2333.077180,-141.387286,-1262.052678,-2053.584029,-1130.043705,2085.232627
l64_tn,-62.809303,-101.775761,-62.809303,-101.775761,0.000000,0.000000
l64_tm,-62.809303,-101.775761,-62.809303,-101.775761,0.000000,0.000000
l64_tpn,-62.925065,-101.995154,-62.925065,-101.995154,0.000000,0.000000
l65,2331.158620,-139.878553,-1260.757441,-2052.695849,-1129.078758,2081.997520
l66,2331.150310,-139.882430,-1260.769337,-2052.706246,-1128.799174,2081.372122
l66_tn,-55.811739,103.370899,-55.811739,103.370899,0.000000,0.000000
l66_tm,-55.811739,103.370899,-55.811739,103.370899,0.000000,0.000000
l66_tpn,-55.944715,103.581838,-55.944715,103.581838,0.000000,0.000000
l68,2386.089241,-161.720098,0.000000,0.000000,0.000000,0.000000
l68_tn,118.987724,-8.124907,118.987724,-8.124907,0.000000,0.000000
l68_tm,118.987724,-8.124907,118.987724,-8.124907,0.000000,0.000000
l68_tpn,119.053024,-8.124957,119.053024,-8.124957,0.000000,0.000000
l69,2384.901322,-162.322385,0.000000,0.000000,0.000000,0.000000
l69_tn,118.672763,-8.199530,118.672763,-8.199530,0.000000,0.000000
l69_tm,118.672763,-8.199530,118.672763,-8.199530,0.000000,0.000000
l69_tpn,118.833683,-8.199783,118.833683,-8.199783,0.000000,0.000000
l70,2384.057444,-162.749248,0.000000,0.000000,0.000000,0.000000
l70_tn,118.876410,-8.176162,118.876410,-8.176162,0.000000,0.000000
l70_tm,118.876410,-8.176162,118.876410,-8.176162,0.000000,0.000000
l70_tpn,118.951631,-8.176257,118.951631,-8.176257,0.000000,0.000000
l71,2383.583747,-162.990067,0.000000,0.000000,0.000000,0.000000
l71_tn,118.606648,-8.232688,118.606648,-8.232688,0.000000,0.000000
l71_tm,118.606648,-8.232688,118.606648,-8.232688,0.000000,0.000000
l71_tpn,118.767994,-8.232993,118.767994,-8.232993,0.000000,0.000000
l73,0.000000,0.000000,0.000000,0.000000,-1146.605586,2135.260000
l73_tn,-56.943328,106.305744,-56.943328,106.305744,0.000000,0.000000
l73_tm,-56.943328,106.305744,-56.943328,106.305744,0.000000,0.000000
l73_tpn,-57.036714,106.454972,-57.036714,106.454972,0.000000,0.000000
l74,0.000000,0.000000,0.000000,0.000000,-1145.429402,2134.555340
l74_tn,-56.883198,106.267993,-56.883198,106.267993,0.000000,0.000000
l74_tm,-56.883198,106.267993,-56.883198,106.267993,0.000000,0.000000
l74_tpn,-56.978141,106.419806,-56.978141,106.419806,0.000000,0.000000
l75,0.000000,0.000000,0.000000,0.000000,-1144.757253,2134.152591
l75_tn,-56.881698,106.299095,-56.881698,106.299095,0.000000,0.000000
l75_tm,-56.881698,106.299095,-56.881698,106.299095,0.000000,0.000000
l75_tpn,-56.944535,106.399602,-56.944535,106.399602,0.000000,0.000000
l76,2383.016891,-170.965555,-1297.593685,-2099.394180,-1144.042624,2134.732700
l77,2382.686033,-171.385572,-1297.779941,-2098.779985,-1143.507463,2134.560424
l77_tn,-64.712522,-104.420268,-64.712522,-104.420268,0.000000,0.000000
l77_tm,-64.712522,-104.420268,-64.712522,-104.420268,0.000000,0.000000
l77_tpn,-64.767091,-104.523219,-64.767091,-104.523219,0.000000,0.000000
l79,2382.440968,-171.732114,-1297.845662,-2098.813701,-1143.425590,2134.375836
l79_tn,118.555432,-8.667704,118.555432,-8.667704,0.000000,0.000000
l79_tm,118.555432,-8.667704,118.555432,-8.667704,0.000000,0.000000
l79_tpn,118.710623,-8.668568,118.710623,-8.668568,0.000000,0.000000
l80,2382.681905,-171.797850,-1297.673076,-2098.403852,-1142.480346,2134.267351
l80_tn,-64.708908,-104.404794,-64.708908,-104.404794,0.000000,0.000000
l80_tm,-64.708908,-104.404794,-64.708908,-104.404794,0.000000,0.000000
l80_tpn,-64.761747,-104.504470,-64.761747,-104.504470,0.000000,0.000000
l82,2382.691696,-172.485147,-1297.370198,-2098.699498,-1141.447655,2133.716671
l82_tn,118.580589,-8.705279,118.580589,-8.705279,0.000000,0.000000
l82_tm,118.580589,-8.705279,118.580589,-8.705279,0.000000,0.000000
l82_tpn,118.723051,-8.706115,118.723051,-8.706115,0.000000,0.000000
l83,2382.760205,-172.489934,-1297.311554,-2098.706888,-1141.300292,2133.688757
l83_tn,-56.858342,106.428143,-56.858342,106.428143,0.000000,0.000000
l83_tm,-56.858342,106.428143,-56.858342,106.428143,0.000000,0.000000
l83_tpn,-56.896749,106.489666,-56.896749,106.489666,0.000000,0.000000
l84,0.000000,0.000000,0.000000,0.000000,-1139.815512,2132.825354
l84_tn,-56.777627,106.374304,-56.777627,106.374304,0.000000,0.000000
l84_tm,-56.777627,106.374304,-56.777627,106.374304,0.000000,0.000000
l84_tpn,-56.822696,106.446560,-56.822696,106.446560,0.000000,0.000000
l85,0.000000,0.000000,0.000000,0.000000,-1139.019707,2132.346614
l85_tn,-56.584196,106.189653,-56.584196,106.189653,0.000000,0.000000
l85_tm,-56.584196,106.189653,-56.584196,106.189653,0.000000,0.000000
l85_tpn,-56.658754,106.309373,-56.658754,106.309373,0.000000,0.000000
l86,2380.702342,-182.012016,-1295.011461,-2100.124258,-1133.723040,2131.525184
l86_tn,-64.633317,-104.697611,-64.633317,-104.697611,0.000000,0.000000
l86_tm,-64.633317,-104.697611,-64.633317,-104.697611,0.000000,0.000000
l86_tpn,-64.665238,-104.758087,-64.665238,-104.758087,0.000000,0.000000
l87,2379.791076,-189.034439,-1293.756267,-2101.144666,-1127.006342,2128.646012
l87_tn,-64.492682,-104.501050,-64.492682,-104.501050,0.000000,0.000000
l87_tm,-64.492682,-104.501050,-64.492682,-104.501050,0.000000,0.000000
l87_tpn,-64.566715,-104.641354,-64.566715,-104.641354,0.000000,0.000000
l88,2375.500161,-192.619155,0.000000,0.000000,0.000000,0.000000
l88_tn,118.205381,-9.706760,118.205381,-9.706760,0.000000,0.000000
l88_tm,118.205381,-9.706760,118.205381,-9.706760,0.000000,0.000000
l88_tpn,118.363780,-9.709061,118.363780,-9.709061,0.000000,0.000000
l90,0.000000,0.000000,-1291.985343,-2099.924560,0.000000,0.000000
l90_tn,-64.410123,-104.451081,-64.410123,-104.451081,0.000000,0.000000
l90_tm,-64.410123,-104.451081,-64.410123,-104.451081,0.000000,0.000000
l90_tpn,-64.478406,-104.580600,-64.478406,-104.580600,0.000000,0.000000
l92,0.000000,0.000000,0.000000,0.000000,-1108.621018,2126.278913
l92_tn,-55.077002,105.895223,-55.077002,105.895223,0.000000,0.000000
l92_tm,-55.077002,105.895223,-55.077002,105.895223,0.000000,0.000000
l92_tpn,-55.144187,106.005543,-55.144187,106.005543,0.000000,0.000000
l94,2382.920671,-188.786781,0.000000,0.000000,0.000000,0.000000
l94_tn,118.620185,-9.517037,118.620185,-9.517037,0.000000,0.000000
l94_tm,118.620185,-9.517037,118.620185,-9.517037,0.000000,0.000000
l94_tpn,118.733629,-9.518472,118.733629,-9.518472,0.000000,0.000000
l95,2383.348185,-188.427960,-1290.736274,-2099.462248,-1117.860468,2129.353959
l95_tn,-64.416544,-104.657946,-64.416544,-104.657946,0.000000,0.000000
l95_tm,-64.416544,-104.657946,-64.416544,-104.657946,0.000000,0.000000
l95_tpn,-64.451908,-104.725161,-64.451908,-104.725161,0.000000,0.000000
l96,0.000000,0.000000,-1290.732483,-2099.260767,0.000000,0.000000
