# Current_Dump_NR.csv run at 2013-08-28 14:00:00 PST on 804 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
substation_transformer,14.331812,-4.479276,-8.643269,-7.263135,-2.882584,11.994189
linobj12,0.000000,0.000000,-47.910993,-76.710143,0.000000,0.000000
linobj13,0.000000,0.000000,0.000000,0.000000,-51.133419,114.384250
linobj17,786.618805,-246.511667,-436.596579,-330.432532,-110.452872,557.962638
linobj34,0.000000,0.000000,0.000000,0.000000,-4.438674,16.792836
linobj35,0.000000,0.000000,0.000000,0.000000,-46.694745,97.591414
linobj56,0.000000,0.000000,0.000000,0.000000,-4.362283,16.743341
linobj78,778.288715,-244.122138,-436.596579,-330.432532,-110.452872,557.962638
linobj812,0.000000,0.000000,-6.273197,-6.182204,0.000000,0.000000
linobj89,42.112630,-12.499290,0.000000,0.000000,0.000000,0.000000
linobj813,736.176085,-231.622848,-430.323382,-324.250327,-110.452872,557.962638
linobj140114,25.135510,-7.474238,0.000000,0.000000,0.000000,0.000000
linobj1334,0.000000,0.000000,0.000000,0.000000,-10.397482,41.486827
linobj1318,252.601995,-70.887428,-168.040184,-95.037104,-20.882970,168.052528
linobj1411,16.710322,-4.966619,0.000000,0.000000,0.000000,0.000000
linobj1410,8.425188,-2.507618,0.000000,0.000000,0.000000,0.000000
linobj1516,0.000000,0.000000,0.000000,0.000000,-4.145098,16.555849
linobj1517,0.000000,0.000000,0.000000,0.000000,-2.090787,8.358338
linobj1819,31.884404,-10.244217,0.000000,0.000000,0.000000,0.000000
linobj1821,48.571540,-15.767469,-12.435895,-12.010500,-12.351458,50.190800
linobj1920,15.932262,-5.122935,0.000000,0.000000,0.000000,0.000000
linobj2122,0.000000,0.000000,-12.435895,-12.010500,0.000000,0.000000
linobj2123,48.571540,-15.767469,0.000000,0.000000,-12.351458,50.190800
linobj2324,0.000000,0.000000,0.000000,0.000000,-4.044944,16.418174
linobj2325,48.571540,-15.767469,0.000000,0.000000,-8.306514,33.772626
linobj260126,16.297115,-5.299788,0.000000,0.000000,-4.166288,16.956452
linobj2528,31.866997,-10.335186,0.000000,0.000000,-4.036068,16.392263
linobj2627,16.297115,-5.299788,0.000000,0.000000,0.000000,0.000000
linobj2631,0.000000,0.000000,0.000000,0.000000,-4.166288,16.956452
linobj2733,16.297115,-5.299788,0.000000,0.000000,0.000000,0.000000
linobj2829,15.936013,-5.171383,0.000000,0.000000,-4.036068,16.392263
linobj2930,0.000000,0.000000,0.000000,0.000000,-4.036068,16.392263
linobj30250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj3132,0.000000,0.000000,0.000000,0.000000,-2.082738,8.479471
linobj3415,0.000000,0.000000,0.000000,0.000000,-6.235885,24.914187
linobj3536,15.886486,-5.159497,-12.552937,-12.051295,0.000000,0.000000
linobj3540,112.679605,-57.252644,-99.471391,-53.438910,-8.531512,117.861727
