# Volt_Dump_NR.csv run at 2013-08-28 14:00:00 PST on 804 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node650,138000.000000,0.000000,-69000.000000,-119497.000000,-69000.000000,119497.000000
n3,0.000000,0.000000,0.000000,0.000000,-1183.348799,2117.344586
n8,2378.314055,-85.764538,-1254.855319,-2088.023640,-1159.820273,2105.516511
n13,2352.725042,-112.146728,-1261.460113,-2075.081072,-1138.586496,2096.758881
n14,2431.090963,-91.586357,0.000000,0.000000,0.000000,0.000000
n1401,2434.591087,-89.660720,0.000000,0.000000,0.000000,0.000000
n15,0.000000,0.000000,0.000000,0.000000,-1135.813494,2095.121734
n18,2334.461018,-137.969553,-1265.300550,-2058.467330,-1121.990986,2082.045470
n21,2333.617580,-140.168173,-1265.317907,-2058.616229,-1119.622817,2080.600212
n23,2333.062600,-142.339667,-1265.011054,-2059.622863,-1117.526923,2079.085310
n25,2331.983785,-144.704481,-1265.028530,-2060.676175,-1116.239691,2077.583059
n26,2389.885416,-149.392180,0.000000,0.000000,-1143.122128,2128.936153
n2601,2390.283379,-148.322093,-1296.654243,-2112.193080,-1144.145684,2129.522635
n27,2389.199467,-150.180942,0.000000,0.000000,-1143.358663,2128.651781
n36,2326.074107,-145.953681,-1266.724306,-2048.134196,0.000000,0.000000
n40,2324.299354,-147.413413,-1265.530996,-2046.656413,-1113.087766,2079.727740
n44,2317.760450,-151.815101,-1265.900389,-2041.509168,-1106.626321,2077.203176
n54,2309.550827,-152.550850,-1276.656491,-2054.856411,-1108.569417,2084.772909
n57,2293.055223,-171.987695,-1280.725518,-2040.586091,-1095.489280,2079.399954
n61,2258.086684,-214.590101,-1288.432649,-2012.720169,-1066.887103,2066.720706
n67,2301.356323,-238.266824,-1325.908292,-2053.315157,-1083.682059,2110.241505
n6701,2314.538851,-219.954853,-1320.643466,-2063.038173,-1093.559280,2118.388724
n72,2298.096829,-244.828274,-1324.115624,-2048.657566,-1074.724588,2108.008548
n78,2293.570132,-251.128693,-1324.396033,-2043.089780,-1068.286710,2106.025489
n81,2294.118260,-253.318593,-1323.101191,-2042.669427,-1062.669067,2104.034673
n89,2288.505630,-268.517335,-1322.069871,-2037.508805,-1048.220890,2102.047288
n91,2290.086098,-268.558135,-1320.594348,-2036.786063,-1043.598237,2102.059665
n93,2289.401502,-268.861385,-1321.077829,-2036.180526,-1043.955427,2102.082484
n97,2295.807511,-243.417269,-1329.801943,-2049.519499,-1084.361791,2109.445116
n101,2290.651345,-248.182768,-1333.573535,-2046.362716,-1085.529161,2108.703977
n105,2283.988667,-253.290834,-1338.880471,-2042.798795,-1089.301837,2108.383485
n108,2277.618279,-261.895958,-1341.063365,-2045.936633,-1091.606209,2104.907266
n110,2245.164951,-282.702632,0.000000,0.000000,0.000000,0.000000
n135,2334.461018,-137.969553,-1265.300550,-2058.467330,-1121.990986,2082.045470
n149,2461.245410,-1.187157,-1231.429313,-2130.895357,-1229.830795,2131.835372
n1491,2461.245410,-1.187157,-1231.429313,-2130.895357,-1229.830795,2131.835372
n150,2401.215034,-1.158202,-1201.394452,-2078.922300,-1199.834921,2079.839387
n151,2313.866941,-155.647419,-1264.862504,-2037.633191,-1099.632884,2075.267078
n152,2352.725042,-112.146728,-1261.460113,-2075.081072,-1138.586496,2096.758881
n160,2258.086684,-214.590101,-1288.432649,-2012.720169,-1066.887103,2066.720706
n195,2289.254440,-268.475346,-1321.457723,-2035.087581,-1044.125289,2102.499985
n197,2295.807511,-243.417269,-1329.801943,-2049.519499,-1084.361791,2109.445116
n250,2331.724235,-146.711986,-1264.557140,-2061.629628,-1113.771188,2076.104136
n251,2331.724235,-146.711986,-1264.557140,-2061.629628,-1113.771188,2076.104136
n300,2277.618279,-261.895958,-1341.063365,-2045.936633,-1091.606209,2104.907266
n350,2277.618279,-261.895958,-1341.063365,-2045.936633,-1091.606209,2104.907266
n450,2296.333346,-243.301320,-1329.218364,-2046.920931,-1081.154303,2109.636839
n451,2296.333346,-243.301320,-1329.218364,-2046.920931,-1081.154303,2109.636839
